H..stevensii	Halobacillus_sp	kb_g_684_fbamdl3_Arthrobacter	cpd00001_e0	cpd00007_e0	cpd00009_e0	cpd00011_e0	cpd00012_e0	cpd00013_e0	cpd00023_e0	cpd00024_e0	cpd00025_e0	cpd00027_e0	cpd00028_e0	cpd00030_e0	cpd00033_e0	cpd00034_e0	cpd00036_e0	cpd00039_e0	cpd00041_e0	cpd00048_e0	cpd00051_e0	cpd00053_e0	cpd00054_e0	cpd00058_e0	cpd00060_e0	cpd00063_e0	cpd00064_e0	cpd00065_e0	cpd00066_e0	cpd00067_e0	cpd00069_e0	cpd00073_e0	cpd00075_e0	cpd00076_e0	cpd00080_e0	cpd00082_e0	cpd00092_e0	cpd00098_e0	cpd00099_e0	cpd00100_e0	cpd00104_e0	cpd00105_e0	cpd00106_e0	cpd00107_e0	cpd00117_e0	cpd00118_e0	cpd00119_e0	cpd00121_e0	cpd00122_e0	cpd00129_e0	cpd00130_e0	cpd00137_e0	cpd00138_e0	cpd00142_e0	cpd00149_e0	cpd00156_e0	cpd00159_e0	cpd00162_e0	cpd00176_e0	cpd00178_e0	cpd00179_e0	cpd00182_e0	cpd00184_e0	cpd00204_e0	cpd00205_e0	cpd00208_e0	cpd00209_e0	cpd00210_e0	cpd00211_e0	cpd00214_e0	cpd00220_e0	cpd00221_e0	cpd00224_e0	cpd00226_e0	cpd00244_e0	cpd00246_e0	cpd00249_e0	cpd00254_e0	cpd00264_e0	cpd00268_e0	cpd00276_e0	cpd00277_e0	cpd00305_e0	cpd00307_e0	cpd00309_e0	cpd00314_e0	cpd00322_e0	cpd00367_e0	cpd00393_e0	cpd00395_e0	cpd00412_e0	cpd00423_e0	cpd00438_e0	cpd00531_e0	cpd00540_e0	cpd00550_e0	cpd00588_e0	cpd00591_e0	cpd00635_e0	cpd00637_e0	cpd00644_e0	cpd00654_e0	cpd00794_e0	cpd00797_e0	cpd00910_e0	cpd00971_e0	cpd01012_e0	cpd01017_e0	cpd01030_e0	cpd01048_e0	cpd01080_e0	cpd01092_e0	cpd01133_e0	cpd01171_e0	cpd01242_e0	cpd01262_e0	cpd01329_e0	cpd01914_e0	cpd02021_e0	cpd02894_e0	cpd03048_e0	cpd03091_e0	cpd03279_e0	cpd03343_e0	cpd03424_e0	cpd03696_e0	cpd03724_e0	cpd03725_e0	cpd03847_e0	cpd03959_e0	cpd04097_e0	cpd04098_e0	cpd04129_e0	cpd08023_e0	cpd08305_e0	cpd08306_e0	cpd09878_e0	cpd10515_e0	cpd10516_e0	cpd11575_e0	cpd11576_e0	cpd11578_e0	cpd11579_e0	cpd11580_e0	cpd11581_e0	cpd11582_e0	cpd11583_e0	cpd11584_e0	cpd11585_e0	cpd11586_e0	cpd11587_e0	cpd11588_e0	cpd11589_e0	cpd11590_e0	cpd11591_e0	cpd11592_e0	cpd11593_e0	cpd11596_e0	cpd11597_e0	cpd11606_e0	cpd15378_e0	cpd15603_e0	cpd15604_e0	cpd15605_e0	cpd15606_e0	Perturbations	time	subject	id
atr2_1_00001	2.51752633135158e-05	4.16132752634428e-05	5.3278520408365e-05	1.95350281158357e-07	0	9.99997695096275	10.0000009913923	1.02971221026804e-05	1.12122383049212e-05	0	0	0	0	0	9.999999995408	0	9.999999995408	0	0	0	9.99999985782061	0	0	0	9.999999995408	0	9.999999995408	0	0	0	9.99998128889357	0	3.60970409246081e-09	0	0	0	0	0	0	10.0000050537198	0	0	0	0	3.46165633088456e-07	0	0	0	0	0	0	0	0	0	0	9.999999995408	0	0	0	0	0	0	0	0	9.70307350491268e-09	9.999999995408	0	0	0	0	0	0	0	0	1.52719760471182e-06	0	0	0	9.999999995408	0	3.29110270494139e-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.49076000475293e-07	0	1.4554610257369e-08	0	0	0	0	0	0	0	0.149994941688244	0	0	0	0	0	0	0	9.99999998343684	9.99999999819515	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.16623590748247e-09	0	0	0	0	START	0	atr2_1	atr2_1_00001
atr2_1_00002	0.0013219648588356	0.00152928983276569	0.0142231558516426	1.94882579060511	0.176953364175629	4.9553889802274	10.0082190377003	2.51126748514011	0.276705777214029	5.33029162562724e-10	7.8473285451299e-08	0	6.81030510234801e-06	2.98868068308872e-19	9.99987166430968	1.80047035331465e-11	9.99987166430968	1.17767775382392e-10	1.50153266039074e-05	0	9.99590662504717	0.000213654414627133	0	0	9.99987166430968	0	9.99987166430968	6.87960915936661e-09	3.55066105421849e-05	0	5.03842147598221	0	0.00926668742743446	0	3.91972222432735e-05	0	3.67711416446101e-06	0.000376401895374036	5.81283269013991e-18	10.092056113965	0.000327573752794143	0	1.43307606352324e-09	2.05399858698609e-07	0.00120149400480171	0	7.875812413367e-21	2.19215170764735e-19	0	4.09577808448709e-09	0	2.34297749021002e-07	1.69489008159613e-06	0	3.67953349931768e-10	9.99987166430968	2.35436004851795e-19	1.37654821186855e-07	1.77357454021196e-10	0	0	0	5.93839231811251e-06	1.3856745283184e-05	4.25895623465998e-07	9.99987166430968	0	3.9571222718291e-19	0	0	8.56452053762386e-05	5.63516802101128e-06	0	0	0.00180552314023979	0	4.58957999395992e-07	6.37144871060786e-05	9.99987166430968	0	0	7.63053699986995e-07	1.35579227246066e-05	0.000389902987596964	2.80682517135639e-18	3.03373656735836e-09	7.15857895338601e-06	5.37241800789799e-06	2.22797869508267e-06	0	0	3.6656738912594e-05	0	5.52057512944253e-07	0	0	0	0	0.0215586663585611	0	0	2.86048892306988e-05	7.09381314103034e-08	7.84998265734392e-06	1.666286812688e-07	7.20678392315924e-06	0	0	0	0	0	0.000101652440154452	0	1.26518787432674e-18	0	0	0	0	3.97629643757116e-19	1.20685169002481e-19	0.00078662517928185	0	0.000225505309525679	6.84704008014025e-08	0	0	0	0	0	1.12796147929657e-05	0.0578155503446996	0	0	0	0	0	0	0	9.99950959041683	9.99997706682198	0	0	0	0	0	2.0012104587878e-07	0	1.82047713128674e-18	1.51296573087729e-16	0	0	4.49710166111045e-18	3.52072592782741e-21	0	2.87219581460226e-20	2.47875276141076e-24	6.90283818255185e-19	2.18532677398498e-17	0	0	0	0.000446664352638801	5.42247022862766e-20	0	0	0	PHOSPHATE	0.999809999999977	atr2_1	atr2_1_00002
atr2_1_00003	0.00227025368048477	0.00253184005269888	0.0360590311582679	2.71812461357194	0.575743701377308	2.19039410772794	10.0291654303285	4.3796928186131	0.717701569160015	2.36470249453984e-06	2.26461154443043e-05	0	5.88017160742765e-06	4.33186547212899e-18	9.99968739866325	7.84090851182723e-08	9.99968739866325	7.45831354583675e-08	0.000155889411164443	0	9.98912368930024	0.000663095001438473	0	0	9.99968739866325	0	9.99968739866325	3.05445892615074e-06	0.000173754541499136	0	1.86706118801037	0	0.00793755876452602	8.88276982212822e-21	3.55072515720177e-05	0	1.95288878162786e-05	0.000448589510333251	3.963860266907e-18	10.223252768032	0.000120481738531078	0	6.15514974134311e-06	1.67434421152464e-05	0.00259923538419059	0	3.02098544261919e-21	5.57878379276586e-19	0	9.84058252193838e-08	2.58983140690882e-07	3.31946946779379e-05	2.69158621817535e-06	0	3.14805792527532e-07	9.99968739866325	4.44105411609444e-08	5.0821257977074e-08	3.81304101092076e-06	0	0	2.77504932939619e-15	1.3477806212442e-05	0.000130627367624026	5.59186661107945e-05	9.99968739866325	0	5.30739087200944e-20	0	0	0.00146301307571541	6.37378281725946e-05	0	0	0.000703844050982546	0	1.75441344566387e-05	0.000168943488912278	9.99968739866325	9.06485431714965e-19	6.61701793983533e-17	2.27455073600558e-05	3.20842295903201e-05	0.00198098176772727	7.16006625415152e-19	1.82288093336703e-05	6.35825871495496e-06	1.2539440773378e-05	4.4005196631618e-05	6.0719590023403e-19	0	0.000321550407295432	0	1.12251926139419e-05	0	1.78955134166995e-18	0	0	0.0520375444713643	0	0	0.000506788560689992	3.35908473664845e-06	2.92053876777265e-06	6.60343353203571e-08	0.000281216409503917	4.95230240139818e-17	0	7.23931403675205e-19	0	0	0.000245532331697594	0	1.81501463001328e-19	0	1.63542755734371e-18	0	0	2.47415098726357e-19	3.75076573168205e-20	0.000289321010501586	0	0.000627736870120492	1.18709624770287e-06	0	0	0	0	0	3.84185319964535e-05	0.0764346306312789	0	0	0	0	0	0	0	9.99878727736501	9.99996231728804	0	0	0	0	7.50946978719525e-24	2.47934322597788e-05	8.00047368777527e-19	6.69517358423205e-19	0	0	7.4752948795828e-15	1.79226246742682e-18	0	0	2.65986690454514e-15	0	2.53886624901599e-19	4.30391710120624e-15	0	0	0	0.00222200877919415	0	3.8031441172253e-19	0	1.05520166310019e-14	H. stevensii	1.99988999999995	atr2_1	atr2_1_00003
atr2_1_00004	0.00768462223398631	0.00409698291064066	0.057044184375177	2.51803086356062	0.840148083111288	0.805627703429388	10.0542362941809	5.05742713786232	1.17785261921988	2.631202974755e-06	1.05859039478538e-05	0	2.80644756995998e-06	2.18695420933251e-18	9.99950211958578	2.88388883757653e-08	9.99950211958578	3.35323094731211e-08	7.62781263582628e-05	0	9.9809292717418	0.000616354398006005	0	0	9.99950211958578	7.10982099152971e-19	9.99950211958578	1.24620327683827e-06	0.000178724607191309	0	0.691099486247104	0	0.0117537030327329	1.1535118524158e-20	0.000124846401095134	0	1.19821181978616e-05	0.00131290218866136	3.22068270531996e-18	10.3662193848447	4.43132247185799e-05	0	2.76289977520071e-06	8.11489754167383e-06	0.00335534691202804	0	0	0	0	1.95791817672532e-06	2.46406806072357e-06	2.35397270147092e-05	3.24993156903181e-06	0	1.30120830386501e-07	9.99950211958578	8.05873029224382e-06	2.31273802503175e-08	1.52896880710167e-06	0	0	1.64188557244384e-08	3.49701419437811e-05	0.000194512788869659	0.00385230517789561	9.99950211958578	0	1.39249920916206e-19	0	0	0.0018390582710259	0.000103041644278022	0	0	0.000269468992379587	0	2.87628869196853e-05	0.000170576922578316	9.99950211958578	0	3.99779844899939e-17	9.14288366994258e-06	6.31897878310967e-05	0.00480914935479503	4.31855178663583e-08	4.98210544037377e-05	2.42205148837837e-06	5.91193329058805e-05	2.22650015048419e-05	0.00338103515340299	0	0.000199812828649991	0	1.72607619918052e-05	0	2.8295885770795e-18	0	0	0.0574301155255132	0	0	0.000735411725441982	6.23832099302626e-06	1.76411718872777e-05	2.57334762968649e-08	0.000453579471359224	6.27958276663325e-16	0	4.39179589394526e-19	0	0	0.00018485502224478	0	5.62255062153315e-18	0	6.01510816021424e-19	0	0	6.88546956308819e-19	0	0.000114932149557011	0	0.00475737413239777	2.34468551555221e-06	0	0	0	0	0	0.000385108315073331	0.0832827347410932	0	0	0	0	0	0	0	9.99808132812018	9.99992715022291	0	0	0	0	2.76198556108511e-24	9.1190659828896e-06	2.06064808276575e-19	2.46124902189217e-19	0	0	2.74941601835416e-15	4.92225898210932e-19	7.81892452142046e-19	0	9.75978580258548e-16	0	9.33795876410004e-20	1.58298218469546e-15	0	0	0	0.00521824318417719	1.23309594954816e-20	1.39649185747578e-19	3.15711880601491e-19	3.88094427536569e-15	H. stevensii	2.99996999999992	atr2_1	atr2_1_00004
atr2_1_00005	0.0130674395773083	0.00580173990483667	0.0791569754281861	1.67096865854213	1.202891481583	0.297508633837447	10.0831118939124	5.29595532313803	1.66660523897305	9.04269744739146e-06	1.65741849190075e-05	0	5.18098475969726e-06	7.99887279814471e-19	9.99930687665757	4.32154967913019e-07	9.99930687665757	1.38665998599631e-06	4.10167949752679e-05	0	9.97239993798087	0.000770748625123483	0	0	9.99930687665757	0	9.99930687665757	1.00543770079892e-06	0.000343864427635392	0	0.733750560712853	0	0.00923774883822152	2.41267015249535e-20	0.000151577274995756	0	3.44603585778227e-05	0.00164705961296961	3.27580169549541e-18	10.5135054068782	1.78547166051929e-05	0	3.50690515045275e-06	3.96819945164018e-06	0.00341488158997336	0	0	1.27221472286051e-19	0	2.87798499208979e-06	3.26631125945353e-06	1.39156557050907e-05	1.37724917659326e-05	3.38215074815952e-09	1.7252301767293e-07	9.99930687665757	1.11626272839728e-05	1.69773916837814e-07	3.23389812469412e-06	0	0	6.03886076186576e-09	0.000112828032924168	0.00020703815038853	0.00743338731780245	9.99930687665757	0	2.91637749221184e-19	0	0	0.00272833041888392	0.000246290389887902	0	0	0.000334889435075972	0	0.000125941711953791	0.000237278994225102	9.99930687665757	3.11439310586589e-18	2.71131423115112e-17	2.69805910108566e-05	0.000100351603868514	0.0077028788633955	1.62612233990849e-08	2.33545615228702e-05	5.25382503715926e-06	0.000233665282893462	5.04078473248902e-05	0.00616888105724079	0	0.000145733632317553	0	0.000140188389938639	0	2.77357475574367e-18	0	0	0.060402493246344	0	0	0.000822183462421748	5.011288013819e-06	3.02833555709721e-05	2.56523746434244e-07	0.000697355193540261	7.4579235237482e-16	0	0	0	0	0.000301958582298544	0	2.85521911156695e-18	0	2.21496387565133e-19	0	0	2.35541592508261e-19	1.60650720843581e-23	4.87589255543166e-05	0	0.00868962028828368	2.38117356173618e-05	0	0	0	0	0	0.000166806714990135	0.0858014697793997	0	0	0	0	0	0	0	9.99733342373529	9.99989408289489	0	0	0	0	3.31351684068556e-22	4.79941207773705e-05	7.58530194641974e-20	9.00591784356391e-20	2.31096515505912e-17	1.89833626370248e-38	1.01124107505466e-15	1.81423653370785e-19	2.37558704255857e-19	0	3.58740723762106e-16	0	3.43482073741471e-20	5.81894784475791e-16	0	0	8.08975551077428e-19	0.00805537977365783	7.69852913045605e-21	5.12187330195214e-20	1.10856040622569e-19	1.56172614834898e-15	ATRAZINE	4.00004999999989	atr2_1	atr2_1_00005
atr2_1_00006	0.0155769585252426	0.00780562944737206	0.100468534902707	0.792525988586672	1.49941726456124	0.10955449481639	10.1086054056731	5.37446218142368	2.15774708857394	1.62860660653194e-05	2.22279728983737e-05	0	5.842798515951e-06	3.14659927344273e-19	9.99911398931011	7.96900606151008e-07	9.99911398931011	3.03608228273638e-06	3.12730905283303e-05	0	9.9645752039834	0.000747818344491239	0	0	9.99911398931011	6.88552975895637e-22	9.99911398931011	1.83538688445357e-06	0.000611106242983197	0	0.824286657385644	0	0.00859968479008778	1.67559308150451e-20	0.00019360375690053	0	2.6133850753934e-05	0.00162176867969862	2.76887744835356e-18	10.6623861279205	6.72340522288164e-06	0	1.30164648386408e-05	3.54711003784149e-06	0.00347127165637312	0	0	4.64136627416659e-20	0	3.79171455124621e-06	1.48607060394383e-06	7.633837887003e-06	2.58963837088534e-05	1.25882454648131e-09	1.00334559885844e-06	9.99911398931011	9.35684199625748e-06	2.2106511576107e-07	6.44014360770719e-06	0	0	1.81570059092331e-08	0.000137866308673522	0.000194910111116172	0.0121824692716331	9.99911398931011	0	3.29514281000146e-19	0	0	0.00385075824298891	0.000389497523158573	0	0	0.000284269159119	0	8.89945724525898e-05	0.000224615018981298	9.99911398931011	1.14611351719519e-18	1.86172399083746e-17	3.29807605135224e-05	6.53982892691582e-05	0.00988430632074647	6.08350253240168e-09	1.10814213275239e-05	8.89860569348293e-06	0.000355133892799593	5.80208174167944e-05	0.00952379074518291	0	0.000148728092417455	0	0.000111895417299392	0	3.28164520699013e-18	0	3.97857024512382e-05	0.0612871101950319	4.17498543441064e-22	0	0.000918552509293532	8.55630866631958e-06	4.21214629624302e-05	4.85917675038763e-07	0.00109849244062067	7.57866677150071e-16	0	2.79464770353224e-21	0	0	0.000322876908158088	0	1.39037128852775e-18	0	8.18682091225628e-20	0	0	9.4232561153992e-20	1.49831559459607e-21	1.94550649410887e-05	0	0.0137771237913641	4.81026655974996e-05	0	0	6.71570317648035e-17	0	0	0.000905528838922628	0.0867278613896124	0	0	0	0	0	0	0	9.99660631529074	9.99984964194977	0	0	0	0	1.21871262948434e-22	3.20269403070629e-05	2.80869203542561e-20	3.31803426838953e-20	8.73387380728491e-18	0	3.71934815077145e-16	6.66018972294734e-20	1.10192055398833e-19	0	1.31937425599979e-16	0	4.01659706905763e-21	2.14021105850512e-16	0	0	6.68288286983839e-19	0.009564461842817	2.66354407705167e-21	1.90926807137079e-20	2.3660977970211e-20	5.74368408654794e-16	END	5.00013000000151	atr2_1	atr2_1_00006
atr2_10_00001	0	5.48706361857498e-05	3.79969193531224e-05	0	0	9.99998979966295	10	4.96484011666663e-06	2.02541226117797e-06	0	0	0	0	0	9.99999999827	0	9.99999999827	0	0	0	9.99999995247962	0	0	0	9.99999999827	0	9.99999999827	0	0	0	9.99998979966295	0	0	0	0	0	0	0	0	10.0000036057325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99999999827	0	0	0	0	0	0	0	0	6.91999137021253e-09	9.99999999827	0	0	0	0	0	0	0	0	2.68008125259327e-06	0	0	0	9.99999999827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.60559141180883e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.03799870553188e-08	0	0	0	0	0	0	0	0.149996392537511	0	0	0	0	0	0	0	9.99999999308001	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	START_P	0	atr2_10	atr2_10_00001
atr2_10_00002	0	0.00234763404364015	0.0141942626634881	2.00810747812045	0.113381594776302	5.13118317411562	10	2.42315408003044	0.273004430300863	0	0	0	0	2.48215561351394e-20	9.99986939859429	0	9.99986939859429	0	0	0	9.99625180663763	0.000326539363364356	0	0	9.99986939859429	0	9.99986939859429	0	9.68220961254676e-05	0	5.53956619704392	0	0.0060615205812333	0	2.20152944380257e-06	0	0	9.3046148646239e-05	0	10.0907567329902	0	0	4.9088998337952e-08	0	0.00350658779970961	0	0	0	0	2.1996980052897e-07	0	4.53370226247927e-07	0	0	0	9.99986939859429	0	6.70515845741229e-07	0	0	0	0	0	0.000123471724774093	1.19632684776335e-07	9.99986939859429	0	0	0	0	0	0.00015261991790327	0	0	0.00165030607082505	0	0	0.000111917071784596	9.99986939859429	0	0	0	4.60219964655447e-09	0.000160773367658164	0	9.26932935555105e-06	0	1.95324177842763e-05	0.000120525032479595	0	0	3.41420340784151e-05	0	4.23097132180123e-07	0	5.87793119507181e-19	0	0	0.0276370315607659	0	0	3.36559058139621e-05	9.28926564243047e-06	7.08663709971765e-08	0	6.30432761745951e-06	4.93473270866995e-17	0	9.79036970400519e-21	0	0	1.16251798925556e-21	1.41845044310231e-15	0	0	0	0	0	5.14707334214774e-18	0	0.00103809305417241	0	0.000224914926648428	0	0	0	0	0	0	0	0.0591126656041403	0	0	0	0	0	0	0	9.999495798136	9.99998179624131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.0129034271933e-17	0	7.01038464552704e-19	0.000210202653986981	0	0	0	0	PHOSPHATE	0.999809999999977	atr2_10	atr2_10_00002
atr2_10_00003	0	0.0036947805617449	0.0371677962453855	3.57724535819167	0.137917636538755	2.25509886496913	10	4.34674027450315	0.716770613012129	0	0	0	0	0	9.99967630069752	0	9.99967630069752	0	0	0	9.99074828708724	0.000546350041059098	0	0	9.99967630069752	1.06637249951523e-18	9.99967630069752	2.75284956267983e-07	0.000497000080610476	0	3.52668302653986	0	0.00282798399963886	0	7.76155746109208e-05	0	5.54809845976421e-06	0.00608841323888355	0	10.2227645906294	3.92087841374574e-08	0	1.80549504105793e-08	0	0.0106334724745851	0	0	0	0	8.09049680140877e-08	0	1.66749724575476e-07	0	0	0	9.99967630069752	0	2.46815824681085e-07	2.0740504908987e-05	0	0	1.21184113934437e-18	0	0.000314095162518557	4.78657013743416e-07	9.99967630069752	0	0	0	0	0	0.00013964267151371	0	0	0.000606983138378445	0	0	0.000220966590078216	9.99967630069752	9.86511482884789e-18	0	0	1.69269060709039e-09	0.000360190314491957	1.64371677497861e-07	3.41411464160525e-06	6.3246877399691e-05	3.26832956031822e-05	0.000182268331392123	0	0	3.18466898284096e-05	0	4.24541419313171e-07	0	5.11799838227639e-19	0	0	0.0504638206908956	0	0	0.00046100794205646	1.49833722997694e-05	2.60646755373401e-08	0	0.00221217429695566	5.94703007185061e-17	0	3.6009013321095e-21	0	0	0	1.5193394430671e-15	1.41009010973629e-17	0	0	0	0	1.24625171740927e-18	0	0.000389047689754879	0	0.000590077977684322	0	0	0	0	0	0	0	0.0769117100681981	0	0	0	0	0	0	0	9.99873410243226	9.99997110035789	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.40673479745728e-18	0	0	5.71251085179223e-18	0	1.64486390573666e-18	0.000573226770958579	0	0	0	0	H. stevensii	1.99988999999995	atr2_10	atr2_10_00003
atr2_10_00004	0.0061644095109533	0.00556459989422906	0.0581990214772411	3.90143357461429	0.151065495647881	0.829468318657119	10.0207164730756	5.04387125997484	1.18304159602989	2.33427903743119e-07	3.03955482772362e-10	0	2.2707110281167e-07	0	9.99948591431978	7.11066879764578e-06	9.99948591431978	1.44821784286027e-06	2.18919896129219e-07	0	9.98184757726663	0.000491789467201925	0	0	9.99948591431978	0	9.99948591431978	1.02401964689623e-06	0.000202846495179189	0	5.68835252871449	0	0.00865096469055136	2.06759039577106e-14	0.000985533446602451	0	2.13791624291227e-06	0.00253358843568362	4.55779979867769e-19	10.3660277095984	1.47638102022322e-08	0	2.95348301126369e-08	1.66449743460121e-05	0.00449383618628443	0	9.61620448777737e-14	0	0	3.06540318407145e-08	2.51251203672999e-07	3.94352953050732e-05	4.05690282701948e-06	0	7.18784846600793e-07	9.99948591431977	6.36773794106492e-10	9.08279853890623e-08	2.46984710817781e-05	0	0	0.000775455931880304	3.29063037505541e-05	0.000352995835629883	0.00311648104851866	9.99948591431978	0	4.20956199383351e-15	0	0	0.000638877544087908	0.000126519934063807	0	0	0.000261300343514581	0	2.41370959606704e-05	0.00010786695475312	9.99948591431978	5.23926002834851e-14	0	2.92171197761696e-08	0.000107744659649512	0.00365125119562935	4.59856313154537e-07	7.74363423941248e-05	2.55625308004499e-05	0.000106386484646514	8.32876309122456e-05	0.00243158930265354	0	3.09382412462709e-05	0	5.67109485840722e-06	0	6.70001978221648e-17	0	0.00027989092612366	0.0602900739315261	0	0	0.000798965694846709	9.86834868017211e-06	0.000437894684792271	9.0500058942038e-08	0.0025127920284577	2.4305980328045e-14	0	0	0	0	0.000111286392237954	1.09783970609781e-15	1.25831292456668e-15	0	0	0	0	4.82818497424561e-17	0	0.000727714278946177	4.83779818311196e-17	0.00404036067827617	8.29170790198845e-07	0	0	0	0	0	3.07954172354144e-05	0.0834582047214781	0	0	2.25398010210747e-05	0	0	0	0	9.99801490545324	9.99992875182606	0	0	0	0	0	1.08840739165986e-10	0	0	0	0	0	0	0	0	0	0	0	1.42294856398439e-14	1.6138869613256e-17	0	1.15217544222801e-16	0.00358560097656528	0	0	3.95756449433302e-15	1.12750706710113e-15	Halobacillus_sp	2.99996999999992	atr2_10	atr2_10_00004
