H..stevensii	Halobacillus_sp	kb_g_684_fbamdl3_Arthrobacter	cpd00001_e0	cpd00007_e0	cpd00009_e0	cpd00011_e0	cpd00012_e0	cpd00013_e0	cpd00023_e0	cpd00024_e0	cpd00025_e0	cpd00027_e0	cpd00028_e0	cpd00030_e0	cpd00033_e0	cpd00034_e0	cpd00036_e0	cpd00039_e0	cpd00041_e0	cpd00048_e0	cpd00051_e0	cpd00053_e0	cpd00054_e0	cpd00058_e0	cpd00060_e0	cpd00063_e0	cpd00064_e0	cpd00065_e0	cpd00066_e0	cpd00067_e0	cpd00069_e0	cpd00073_e0	cpd00075_e0	cpd00076_e0	cpd00080_e0	cpd00082_e0	cpd00092_e0	cpd00098_e0	cpd00099_e0	cpd00100_e0	cpd00104_e0	cpd00105_e0	cpd00106_e0	cpd00107_e0	cpd00117_e0	cpd00118_e0	cpd00119_e0	cpd00121_e0	cpd00122_e0	cpd00129_e0	cpd00130_e0	cpd00137_e0	cpd00138_e0	cpd00142_e0	cpd00149_e0	cpd00156_e0	cpd00159_e0	cpd00162_e0	cpd00176_e0	cpd00178_e0	cpd00179_e0	cpd00182_e0	cpd00184_e0	cpd00204_e0	cpd00205_e0	cpd00208_e0	cpd00209_e0	cpd00210_e0	cpd00211_e0	cpd00214_e0	cpd00220_e0	cpd00221_e0	cpd00224_e0	cpd00226_e0	cpd00244_e0	cpd00246_e0	cpd00249_e0	cpd00254_e0	cpd00264_e0	cpd00268_e0	cpd00276_e0	cpd00277_e0	cpd00305_e0	cpd00307_e0	cpd00309_e0	cpd00314_e0	cpd00322_e0	cpd00367_e0	cpd00393_e0	cpd00395_e0	cpd00412_e0	cpd00423_e0	cpd00438_e0	cpd00531_e0	cpd00540_e0	cpd00550_e0	cpd00588_e0	cpd00591_e0	cpd00635_e0	cpd00637_e0	cpd00644_e0	cpd00654_e0	cpd00794_e0	cpd00797_e0	cpd00910_e0	cpd00971_e0	cpd01012_e0	cpd01017_e0	cpd01030_e0	cpd01048_e0	cpd01080_e0	cpd01092_e0	cpd01133_e0	cpd01171_e0	cpd01242_e0	cpd01262_e0	cpd01329_e0	cpd01914_e0	cpd02021_e0	cpd02894_e0	cpd03048_e0	cpd03091_e0	cpd03279_e0	cpd03343_e0	cpd03424_e0	cpd03696_e0	cpd03724_e0	cpd03725_e0	cpd03847_e0	cpd03959_e0	cpd04097_e0	cpd04098_e0	cpd04129_e0	cpd08023_e0	cpd08305_e0	cpd08306_e0	cpd09878_e0	cpd10515_e0	cpd10516_e0	cpd11575_e0	cpd11576_e0	cpd11578_e0	cpd11579_e0	cpd11580_e0	cpd11581_e0	cpd11582_e0	cpd11583_e0	cpd11584_e0	cpd11585_e0	cpd11586_e0	cpd11587_e0	cpd11588_e0	cpd11589_e0	cpd11590_e0	cpd11591_e0	cpd11592_e0	cpd11593_e0	cpd11596_e0	cpd11597_e0	cpd11606_e0	cpd15378_e0	cpd15603_e0	cpd15604_e0	cpd15605_e0	cpd15606_e0	Perturbations	time	subject	id
atr2_1_00001	5.26896971666027e-05	3.69107971702234e-05	5.38839990898881e-05	0	0	0.0999855347496093	10	7.04071395477279e-06	2.87226739156683e-06	0	0	0	0	0	9.99999999754666	0	9.99999999754666	0	0	0	9.99999993261063	0	0	0	9.99999999754666	0	9.99999999754666	0	0	0	9.99998553474961	0	0	0	0	0	0	0	0	10.0000051133431	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99999999754666	0	0	0	0	0	0	0	0	9.81334316156695e-09	9.99999999754666	0	0	0	0	0	0	0	0	3.80066327044752e-06	0	0	0	9.99999999754666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.11314305633188e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.47200147423504e-08	0	0	0	0	0	0	0	0.149994884203541	0	0	0	0	0	0	0	9.99999999018666	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.04131601524883e-23	0	0	0	0	START_noP	0	atr2_1	atr2_1_00001
atr2_1_00002	0.000231644351710087	0.000152144711053559	0.00277206186245401	5.14024837019611e-06	9.19937624757598e-06	0.0367992342449809	10.0001509787792	0.0297524509881253	0.0810165418838277	9.74174432663629e-08	2.06765622303147e-10	0	6.97658997985622e-08	0	9.99997694709737	2.9862147821385e-10	9.99997694709737	8.60377244377569e-11	5.0952847750297e-09	0	9.99791105174383	1.48532259357684e-05	0	0	9.99997694709737	0	9.99997694709737	1.10730159244113e-07	1.81171409369002e-06	0	9.54238899327175	2.40441540023943e-07	3.65857302721042e-05	4.43931170826608e-23	2.3803767455133e-06	0	5.9396356431728e-10	2.03766588845236e-06	2.80490483770754e-22	10.0307159812229	1.60812832479762e-06	1.10083827663311e-23	3.16992989912243e-07	6.9304837144289e-07	9.7667972720374e-05	0	2.05280155368003e-16	0	0	1.7952639616393e-07	5.96557144151725e-08	1.49015582038518e-06	2.1874311668544e-08	0	5.11756528507549e-08	9.99997694709737	2.86149801308794e-07	5.492703233082e-07	2.3540076441814e-11	0	0	5.31127798403416e-07	6.06461662523098e-07	1.94551567998988e-06	2.06299043394859e-05	9.99997694709737	0	0	0	0	3.65337043503629e-06	3.61722257770895e-06	0	0	0.000648228117790704	0	5.34647093841249e-07	8.93419060896077e-06	9.99997694709737	0	4.38617625893697e-18	1.08754530408529e-08	1.46429675931192e-06	0.00143111926226853	9.91276824115928e-10	3.38650112547588e-06	8.33616495157352e-07	1.94147850636316e-05	3.72814985215408e-06	5.41567964491526e-07	0	9.15829350560633e-07	0	2.85849319785791e-06	0	0	0	0	0.0166083088943478	1.02946503043867e-22	0	1.93798727349859e-06	5.48447262566018e-07	2.1189216026366e-06	2.20120602824418e-07	1.79873335790296e-06	7.71883652485427e-17	0	9.51289051013244e-21	0	0	2.85466021173092e-06	0	1.37209793900614e-20	0	0	0	0	1.42479779182013e-18	0	1.53205457199308e-05	0	6.37976194853625e-05	4.48971805508247e-07	0	0	0	0	0	3.19180451846968e-07	0.119260965874426	0	0	0.0242446563681121	0	0	0	0	9.99991043968613	9.99999734870321	0	0	0	0	0	4.48332497684678e-08	5.07640660308818e-21	0	9.51324294410464e-18	0	5.13521181191913e-21	3.32801196119978e-28	1.69133089097369e-15	1.60096298455476e-34	2.75218967741609e-15	0	0	0	0	0	7.18464500374203e-18	0.00062553846631527	8.34079782652334e-20	1.30701205846603e-19	9.82451578434815e-17	0	Halobacillus_sp	0.999809999999977	atr2_1	atr2_1_00002
atr2_1_00003	0.000443894498060788	0.00365150557578972	0.00378316814019906	3.41761615217604e-06	4.78143833446954e-06	0.0135347709657126	10.0002284202358	0.0406185120045298	0.107742403626164	4.67869997413168e-08	1.53705805680349e-09	0	1.08202351523107e-07	2.99379656801704e-19	9.99996747314182	1.21531644851612e-10	9.99996747314182	9.47803417869347e-09	4.13010934900096e-08	0	9.99625065784718	2.57044149977367e-05	3.30137307653459e-33	0	9.99996747314182	1.27014189457363e-17	9.99996747314182	6.70216080180296e-08	1.669721969446e-06	0	9.48203858492725	9.7016827891189e-08	5.59273401011405e-05	1.6349913946545e-23	4.81659289477638e-06	0	4.1938571102594e-08	3.18859465502108e-06	1.7780002755174e-18	10.0375215832177	5.99635582463435e-07	1.10024390421484e-23	1.51039315263424e-07	2.61063610837149e-07	8.96925521038498e-05	0	9.62725075646898e-17	1.72255570382287e-21	0	9.12163136039918e-08	2.59056875179255e-08	8.23981447147195e-07	1.78428342573549e-08	5.10754007341055e-10	4.65760777168572e-08	9.99996747314182	1.33277511822075e-07	2.04208162352797e-07	5.58122116588635e-09	0	0	3.31180981652628e-06	1.28986919404528e-06	1.73472964033617e-06	3.63393391492892e-05	9.99996747314182	0	2.62404821944081e-25	0	0	5.54876650525468e-06	7.90179722650738e-06	0	0	0.000287163145506624	0	9.02010869420807e-07	4.48852102689977e-06	9.99996747314182	2.5628261627673e-19	1.05008663695717e-16	3.39040388872723e-07	1.70482447864526e-06	0.00280209980151039	3.64591955589121e-10	2.2326916862153e-06	3.63303668756589e-07	1.05001205998549e-05	2.15802068262339e-06	8.53040921041017e-06	0	5.44153671354706e-07	0	4.12702147473209e-06	0	0	0	0	0.00950478492361067	1.03057200565384e-22	0	1.74424822427315e-06	1.73011965259577e-06	4.18875860216819e-05	8.28780860250383e-08	2.52025659774999e-06	1.02554029479138e-16	0	5.47837828358119e-18	0	0	1.76002179830372e-06	0	2.29299673262748e-19	0	0	0	0	2.52793742909745e-18	0	5.63490196585471e-06	0	9.55627316103683e-05	2.50416971473731e-07	0	0	5.92328474811244e-18	0	0	2.86270714166066e-07	0.26244588992412	0	0	0.0242446563681121	0	0	0	0	9.99987551460595	9.99999437796127	0	0	0	0	0	3.02366860663554e-08	9.06086918512757e-22	2.24392342828399e-15	2.55630351578384e-15	0	2.63405730247213e-15	0	6.23845080955694e-16	6.65448871607499e-34	5.5439855591005e-15	5.70202009003011e-16	9.01982050140104e-27	0	0	0	5.46734479762185e-18	0.00107962876809475	6.91018332895104e-15	2.08448879955387e-18	2.41866289739472e-15	0	Halobacillus_sp	1.99988999999995	atr2_1	atr2_1_00003
atr2_1_00004	0.000532656114316353	0.00711586867215131	0.00417365670325241	1.3099260420131e-06	2.2410360505954e-06	0.00497809339930168	10.0002438268993	0.0445818793024613	0.119065530247936	3.66810224640037e-07	2.45583201272038e-08	0	5.58860732055543e-08	0	9.99996358692754	4.47718620992408e-11	9.99996358692754	3.53688641536539e-09	1.96993617958189e-08	0	9.99537518124232	2.91686044317588e-05	1.24579875440068e-33	0	9.99996358692754	2.4497150476801e-17	9.99996358692754	2.94790161195837e-08	4.94704439553134e-06	0	9.46856372620072	4.96953503140809e-07	4.49546534082097e-05	6.01350395234863e-24	6.31143432046282e-06	0	6.68454237458476e-08	2.9630257977774e-06	1.36874251883478e-18	10.0400357040421	2.21860293468358e-07	1.10024390421484e-23	6.27278029005552e-08	1.5137109327865e-07	8.09049722598091e-05	0	4.29380017558573e-17	0	0	9.14604193149851e-08	4.22982421236387e-07	7.37499182324745e-07	7.35204341167555e-08	8.0686453940845e-08	3.55024264792512e-08	9.99996358692754	1.12378985668424e-07	7.5603146198941e-08	4.40459438232096e-09	0	0	2.70389162731247e-06	2.4437191977973e-06	1.95827732729595e-06	4.62877706954737e-05	9.99996358692754	0	0	0	0	6.77569892929479e-06	1.14876611258989e-05	0	0	0.000139182466453738	0	8.07811243435635e-07	2.49671132389403e-06	9.99996358692754	2.6363231312067e-19	2.24801304470271e-16	2.29972247973354e-07	2.22048424905398e-06	0.00355862587457168	1.58424373919372e-08	1.33034846160397e-06	1.96099691978658e-07	1.02416141263184e-05	1.4100681948743e-06	1.10677637673149e-05	0	1.07254452126841e-06	0	2.02207526391463e-06	0	8.72201925207102e-21	0	1.29080233074283e-07	0.00443744339517515	1.0297398986987e-22	0	3.06174953412785e-06	8.63203918481496e-07	4.59724041642029e-05	3.37225577436567e-08	2.80252971441631e-06	1.02799118803451e-16	0	9.84573009185077e-18	0	0	1.01422947557096e-06	1.07753004732141e-07	1.12889700370791e-19	0	0	0	0	6.44507853380689e-18	6.39960499320334e-24	2.07251887401677e-06	0	0.000111711854907706	1.12072323543269e-07	0	0	1.61870252369967e-18	0	0	1.20896680394703e-07	0.409927882885479	0	0	0.0238926352880118	0	0	0	0	9.99986138670514	9.99999296100492	0	0	0	0	0	4.05801783558003e-08	2.18484476437849e-21	8.25315805887217e-16	9.41378271509514e-16	0	9.68807178491424e-16	0	2.29450771507496e-16	2.44752323014108e-34	2.34583602825541e-15	2.57125999700295e-16	3.31749307133891e-27	0	0	0	4.63288736061657e-18	0.00139445229177871	3.00955780316285e-15	8.78256855727851e-19	8.91217011985293e-16	0	Halobacillus_sp_H. stevensii	2.99996999999992	atr2_1	atr2_1_00004
atr2_1_00005	0.00397042410375675	0.010548065563023	0.00433063109439275	5.1000803766013e-07	9.88320731972119e-07	0.00183094445816256	10.0002506382112	0.0460239408233708	0.122176869433827	1.94863121625886e-06	2.99330758195399e-08	0	2.53592021932176e-07	1.96712519483041e-18	9.99996196802483	1.51810861928055e-07	9.99996196802483	6.57004717449968e-08	2.54464329055907e-06	0	9.99502654390423	1.33901352139906e-05	4.73168459479526e-34	3.42025230781032e-07	9.99996196802483	2.8656757777247e-16	9.99996196802483	3.95306259513104e-08	1.1808458306429e-05	9.9753014409902e-07	9.4792840869106	4.33654801626902e-06	3.35259595914507e-05	2.21211400033435e-24	3.93817000799383e-06	0	2.29787673327247e-07	5.07347495246474e-06	1.36016345656243e-18	10.0403385461908	4.23696945099919e-07	1.10024390421484e-23	1.06929550313657e-07	7.48951437373473e-08	4.67098415713638e-05	2.37800105508737e-07	5.78649388573371e-17	7.06257527008695e-24	4.7839846643835e-09	2.03604607565305e-06	5.00540828968558e-07	3.57797960094586e-07	8.80575888060212e-08	7.63632016065653e-08	2.68562486576963e-08	9.99996196802483	6.4578126186466e-08	2.79394472377617e-08	2.31562921963673e-08	2.83592658215462e-07	0	1.35549433809317e-06	3.0549849464949e-06	1.80283061696371e-06	6.76787622227946e-05	9.99996196802483	7.88811380844498e-18	0	1.50635354673974e-22	0	7.51256591619964e-06	1.52375804718438e-05	0	0	6.18065438679861e-05	0	7.34453012830028e-07	1.76802613999995e-06	9.99996196802483	4.70724778624965e-14	0	5.07481830509563e-07	1.17325230900043e-06	0.00385760241876143	1.46095569171156e-06	6.47804679665213e-07	5.11818937260183e-07	5.01779112984241e-06	1.19094492407222e-06	1.90476576503598e-05	1.72935486814454e-25	6.17414997336432e-07	0	1.52538785531431e-06	0	1.5391967203795e-20	0	2.5438406130161e-07	0.00174632194574116	1.02751884330409e-22	0	2.54582310072184e-06	9.48935720433806e-07	2.31831158418705e-05	1.32884374844564e-08	3.3986697021153e-06	1.0377928649453e-16	0	4.54144190420687e-18	0	0	7.38412265678265e-07	6.54106393754054e-07	1.02856936623011e-19	0	0	0	0	3.73363531894372e-14	2.02096453312598e-24	7.62273152076786e-07	0	0.000135595491938617	7.14900814677037e-08	0	0	2.27405896065293e-16	0	0	3.19584547263308e-06	0.559623421834001	0	0	0.0222771670634856	0	0	0	7.15280715363149e-29	9.99985614802427	9.99999172407488	0	0	0	5.52093357132871e-38	0	8.05145385443985e-08	6.80276385537235e-22	3.03440549854712e-16	1.12239159333184e-14	8.96573049918532e-14	3.5632761107497e-16	0	7.36848301382352e-14	0	2.68461555006354e-14	3.29174897427647e-14	1.22017508848121e-27	7.10832039481608e-18	0	0	3.74398028090503e-18	0.00152148820502723	1.28189161979836e-15	0	3.27789273049209e-16	0	ATRAZINE	4.00004999999989	atr2_1	atr2_1_00005
atr2_1_00006	0.0039862055409857	0.0105637403472172	0.00439397712284639	2.08076604396547e-07	4.26865397753958e-07	0.000673421999142572	10.00025355529	0.0465476989191466	0.123411370194144	1.25379427277959e-06	1.67755153889741e-08	0	1.79344182594348e-07	8.55661007607404e-19	9.99996129175987	7.36281657385863e-08	9.99996129175987	2.4674254796495e-08	2.34595524883177e-06	0	9.99489223297178	6.3227715770561e-06	1.79133321588762e-34	2.77887413375194e-07	9.99996129175987	0	9.99996129175987	2.5407554082556e-08	1.14967500632994e-05	1.14739104224396e-06	9.4834067317558	3.77149282390221e-06	1.84734592531453e-05	8.13616287373022e-25	2.48178395009735e-06	0	1.8705481602626e-07	3.35552063288716e-06	1.3688061115595e-18	10.0404503002473	5.793847627999e-07	1.10024390421484e-23	5.41949095224539e-08	3.00478333412468e-08	2.30794540126175e-05	2.13877153558734e-07	6.08066978144414e-17	2.46186344159646e-23	1.4528473037591e-08	1.30640924806457e-06	3.0505891836756e-07	1.59724239544226e-07	7.98129767407984e-08	3.866890425401e-08	1.25228240650148e-08	9.99996129175987	2.52476559601302e-08	1.18046967554512e-08	1.27044804256103e-08	1.71290806943394e-07	0	7.06329303517286e-07	1.44059605412974e-06	1.79123755340307e-06	7.67836007229186e-05	9.99996129175987	3.4588851660335e-18	0	1.43471354300436e-22	0	8.04956669627133e-06	1.67408572026698e-05	0	0	2.63346773921048e-05	0	7.66483568275692e-07	1.07263308159264e-06	9.99996129175987	0	1.71263500359289e-14	4.76288201525856e-07	5.91418201373878e-07	0.00397116789302211	1.04914808095035e-06	2.99298340701038e-07	1.56344676574659e-06	3.18471673044074e-06	6.02858316492275e-07	2.2623080850803e-05	0	2.65962674780385e-07	0	7.06986374853046e-07	0	6.53375457530847e-21	0	3.12380070021488e-07	0.000683634496780895	1.02378723417013e-22	0	2.59344675722588e-06	4.1031836443321e-07	1.17434556046384e-05	5.17928760314484e-09	4.18530366843169e-06	1.03947735729905e-16	0	1.23297453516431e-14	0	0	4.81639387585474e-07	1.17371759541508e-06	5.30307785927934e-20	0	1.26883671793788e-41	0	0	1.54512848515217e-14	2.35855494824347e-24	2.80364326550579e-07	0	0.000145706221809124	4.45756320039764e-08	0	0	2.27283108846179e-16	0	0	2.91698886095842e-06	0.709510991512473	0	0	0.021658748944007	0	0	0	7.30018598695352e-25	9.99985410428104	9.99999106275821	0	0	0	0	0	5.9999942709041e-08	2.50192161976891e-22	7.27965479722717e-14	9.94190144561545e-14	3.29759875086759e-14	1.31057444127659e-16	0	2.71013059666819e-14	0	5.25092441856384e-14	1.33553689764902e-14	4.48780815674549e-28	2.61444267926027e-18	0	0	3.20153099500021e-18	0.00157221967427267	5.60768572174801e-16	0	1.2056110038874e-16	2.31987416230343e-13	END	5.00013000000151	atr2_1	atr2_1_00006
atr2_10_00001	0	0	2.22711906475894e-05	0	0	0.099994021261327	10	2.91004909491422e-06	1.18715789007655e-06	0	0	0	0	0	9.99999999898599	0	9.99999999898599	0	0	0	9.99999997214681	0	0	0	9.99999999898599	0	9.99999999898599	0	0	0	9.99999402126133	0	0	0	0	0	0	0	0	10.0000021134333	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99999999898599	0	0	0	0	0	0	0	0	4.05602479646854e-09	9.99999999898599	0	0	0	0	0	0	0	0	1.57087999616034e-06	0	0	0	9.99999999898599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.11335063728287e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.0840371947028e-09	0	0	0	0	0	0	0	0.149997885552665	0	0	0	0	0	0	0	9.99999999594398	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	START_noP	0	atr2_10	atr2_10_00001
atr2_10_00002	0	0	0.00272559091720118	0	0	0.0380401941853201	10	0.0293008546547859	0.0714335153682516	0	0	0	0	0	9.99997853555032	0	9.99997853555032	0	0	0	9.99941040453849	0	0	0	9.99997853555032	0	9.99997853555032	0	0	0	9.482470210827	0	0	0	0	0	0	0	0	10.0302095751052	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99997853555032	0	0	0	0	0	0	0	0	8.58577988291618e-05	9.99997853555032	0	0	0	0	0	0	0	0	0.000953367435470668	0	0	0	9.99997853555032	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0302241438998438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000128786698243761	0	0	0	0	0	0	0	0.119768960445083	0	0	0.0247657110550014	0	0	0	0	9.99991414220117	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	PHOSPHATE	0.999809999999977	atr2_10	atr2_10_00002
atr2_10_00003	0	0	0.031049496256227	0.0134591762697341	8.11996816443653e-06	0.381791539138299	10	0.339833864126328	0.550984220781467	0	0	0	0	0	9.99975365341188	0	9.99975365341188	0	0	0	9.99323323764048	0	0	0	9.99975365341188	0	9.99975365341188	0	0	0	7.02408061993409	0	0.000434313725713191	0	0	0	0	0	0	10.2005325373153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9.99975365341188	0	0	0	0	0	0	0	0	0.000985386352668808	9.99975365341188	0	0	0	0	0	0	0	0	0.000581213466588406	0	0	0	9.99975365341188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20052876716986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00147807952900324	0	0	0	0	0	0	0	0.0992211160964737	0	0	0.00910883701277504	0	0	0	0	9.99901461364733	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	H. stevensii	1.99988999999995	atr2_10	atr2_10_00003
atr2_10_00004	0.00649470711408474	0	0.0373534153150038	0.00495028964421606	2.98652707344081e-06	0.140423058927878	10.0010875140371	0.45534647056393	0.706540156657986	0	0	0	0	0	9.99969401978876	0	9.99969401978876	0	1.80000012282272e-20	0	9.99115924099908	0	0	0	9.99969401978876	7.52484205971034e-18	9.99969401978876	0	0	0	11.538525003417	0	0.00015974073717756	0	0.000180558189994218	0	0	1.62750652299108e-17	0	10.2434673911613	0	0	0	0	0	0	3.84080608982623e-17	0	0	0	0	0	0	0	0	9.99969401978876	0	0	0	0	0	0.000261929294023265	0	0	0.00305073972418338	9.99969401978876	0	0	0	0	0	0	0	0	0.000213770512181728	0	0	0	9.99969401978876	0	0	1.56936240468041e-14	0	1.05185026791806e-05	0	0	0	0	0	0.00182441486294335	0	0	0	0	0	0	0	0	0.170272590470217	0	0	3.92490858911779e-19	0	0.000136810173655702	0	0	0	0	1.3110679827531e-20	0	0	0	0	0	0	0	0	0	7.09263030887271e-19	6.179250545168e-18	2.78747784246953e-15	0	0.00364353483058306	0	0	0	0	0	0	7.3859853590148e-15	0.206226628627324	0	0	0.00335023337472655	0	0	0	0	9.99878560768389	9.99999047147096	0	0	0	0	0	1.26645874476295e-20	0	0	0	0	0	0	0	0	4.56761619489105e-19	0	0	0	0	0	0	7.35745381916037e-06	0	0	8.53605760588194e-18	5.14251630770193e-21	Halobacillus_sp	2.99996999999992	atr2_10	atr2_10_00004
