H..stevensii	Halobacillus_sp	kb_g_684_fbamdl3_Arthrobacter	cpd00001_e0	cpd00007_e0	cpd00009_e0	cpd00011_e0	cpd00012_e0	cpd00013_e0	cpd00023_e0	cpd00024_e0	cpd00025_e0	cpd00027_e0	cpd00028_e0	cpd00030_e0	cpd00033_e0	cpd00034_e0	cpd00036_e0	cpd00039_e0	cpd00041_e0	cpd00048_e0	cpd00051_e0	cpd00053_e0	cpd00054_e0	cpd00058_e0	cpd00060_e0	cpd00063_e0	cpd00064_e0	cpd00065_e0	cpd00066_e0	cpd00067_e0	cpd00069_e0	cpd00073_e0	cpd00075_e0	cpd00076_e0	cpd00080_e0	cpd00082_e0	cpd00092_e0	cpd00098_e0	cpd00099_e0	cpd00100_e0	cpd00104_e0	cpd00105_e0	cpd00106_e0	cpd00107_e0	cpd00117_e0	cpd00118_e0	cpd00119_e0	cpd00121_e0	cpd00122_e0	cpd00129_e0	cpd00130_e0	cpd00137_e0	cpd00138_e0	cpd00142_e0	cpd00149_e0	cpd00156_e0	cpd00159_e0	cpd00162_e0	cpd00176_e0	cpd00178_e0	cpd00179_e0	cpd00182_e0	cpd00184_e0	cpd00204_e0	cpd00205_e0	cpd00208_e0	cpd00209_e0	cpd00210_e0	cpd00211_e0	cpd00214_e0	cpd00220_e0	cpd00221_e0	cpd00224_e0	cpd00226_e0	cpd00244_e0	cpd00246_e0	cpd00249_e0	cpd00254_e0	cpd00264_e0	cpd00268_e0	cpd00276_e0	cpd00277_e0	cpd00305_e0	cpd00307_e0	cpd00309_e0	cpd00314_e0	cpd00322_e0	cpd00367_e0	cpd00393_e0	cpd00395_e0	cpd00412_e0	cpd00423_e0	cpd00438_e0	cpd00531_e0	cpd00540_e0	cpd00550_e0	cpd00588_e0	cpd00591_e0	cpd00635_e0	cpd00637_e0	cpd00644_e0	cpd00654_e0	cpd00794_e0	cpd00797_e0	cpd00910_e0	cpd00971_e0	cpd01012_e0	cpd01017_e0	cpd01030_e0	cpd01048_e0	cpd01080_e0	cpd01092_e0	cpd01133_e0	cpd01171_e0	cpd01242_e0	cpd01262_e0	cpd01329_e0	cpd01914_e0	cpd02021_e0	cpd02894_e0	cpd03048_e0	cpd03091_e0	cpd03279_e0	cpd03343_e0	cpd03424_e0	cpd03696_e0	cpd03724_e0	cpd03725_e0	cpd03847_e0	cpd03959_e0	cpd04097_e0	cpd04098_e0	cpd04129_e0	cpd08023_e0	cpd08305_e0	cpd08306_e0	cpd09878_e0	cpd10515_e0	cpd10516_e0	cpd11575_e0	cpd11576_e0	cpd11578_e0	cpd11579_e0	cpd11580_e0	cpd11581_e0	cpd11582_e0	cpd11583_e0	cpd11584_e0	cpd11585_e0	cpd11586_e0	cpd11587_e0	cpd11588_e0	cpd11589_e0	cpd11590_e0	cpd11591_e0	cpd11592_e0	cpd11593_e0	cpd11596_e0	cpd11597_e0	cpd11606_e0	cpd15378_e0	cpd15603_e0	cpd15604_e0	cpd15605_e0	cpd15606_e0	Perturbations	time	subject	id
atr2_1_00001	2.5351925757513e-05	0	4.36010615122562e-05	1.63920268304811e-05	1.2870681240831e-05	10.0000065748552	10.0000163920268	0	0	0.24998360797317	5.36142405478714e-06	0	0	0	9.99999993929601	0.279990189141726	9.99999993929601	0.259999975792382	0	0	9.99999819821358	0	0	0	9.99999993929601	0	9.99999993929601	0	0	0.059990189141726	9.99999834728548	0	3.76635029365738e-07	0	0	0.0999836079731695	0	0	0	10.0000035456131	1.44411409103132e-08	0	0	0.229993418831444	0.159996505001788	0	0	0	0	0	0.169989428243825	0.459995029844025	0	0	3.64478256146164e-06	9.99999993929601	0.319999649736172	3.51000550605979	3.54393545469403e-06	3.6943414396559e-07	0	0	0	0	2.3071216788244e-07	9.99999993929601	0	0	0	0	0	0	0	0	0	0	0	0	9.99999993929601	0	0	0	0	0	0	0	0	0.079995969502511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.41196998610563e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.4606825182366e-07	0	0	0	0	0	0	0	0.14999639368291	0	0	3.6063170901377e-06	0	0	0	0	9.99999976928783	9.99999998789619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.02595225184589e-09	0	0	0	0	ROOT_EXUDATE_P	0	atr2_1	atr2_1_00001
atr2_1_00002	0.0525946342140547	0	0.0928736701885316	1.46062453494565	0.440768331394744	3.79354073975888	14.6128938999024	3.05583253972956	0.0296285340182998	0.0920895420801866	0.0780857994862501	0	0.00173493209432953	0	9.99910012119978	0.103259666176052	9.99910012119978	0.0967676645904171	0.00027604578239346	0	9.96470442363275	0	0	0	9.99910012119978	0	9.99910012119978	0	0	0.0233357386096346	14.4273731951876	0.000349258228407119	8.1749642469277e-05	0	3.06687761501478e-06	0.0367900985519348	0.00192068879328035	0.000507860096809893	4.11939060660976e-20	10.0938110052878	1.37900691316986e-07	0	0	0.0967233755010664	0.0596068569644295	0	5.25318036309917e-21	0	0	0	0.062598906603502	0.229714443714543	0.00244781644594922	2.2453634994224e-08	0.0371589442064159	9.99910012119978	0.117990011632952	1.34581092151259	0.00235368428118748	6.7686851229905e-07	0	0.000106579076842574	0.000752462142683634	0.000383062758578845	0.00412349415689862	9.99910012119978	0	0	0	0	0.104560434471958	0	0	0	0.000914141802154533	0	0.000527465160273624	0.00183069813472969	9.99910012119978	1.40190794750343e-20	9.38693225388272e-22	0.000606551015749345	0.00354175738617443	0.00335037414097994	0	4.53014828825525e-06	0	0.0294598453904036	0.000178094415522006	0.000799509780867971	0	0.000118733546324767	0	0.00258082783594229	0	1.48285293925835e-19	0	0	0.0260609016163013	0	0	3.48498020286398e-05	2.90191320459143e-05	0.00071087744140143	0.00342234941515905	0	2.74633351365908e-15	0	0	0	0	0.0407326606151812	0.000881505687812123	0	0	0	0	0	0	0	3.42155716381245e-18	5.53564109285218e-19	0.00559768762536077	0.000350526203131818	0	0	0	0	0	0.000170147306244222	0.0552891159120246	0	0	4.82486096072176e-05	0	0	0	0	9.99754966307956	9.99885082171957	0	0	0	2.66048021908099e-21	0	2.45684507859893e-05	3.52401932908975e-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00329494159910384	2.86282211565146e-20	0	0	0	PHOSPHATE	0.999809999999977	atr2_1	atr2_1_00002
atr2_1_00003	0.0914711037995167	0	0.152294525419066	1.58616922789031	0.634170463770269	1.76306592673998	16.9892081984376	4.5300109705231	0.0132836320408305	0.0338705651344547	0.0287199838095844	0	0.000638108618823147	0	9.99850796019647	0.0379789406047062	9.99850796019647	0.0355911801968221	0.000101529733360035	0	9.9273679477132	0	0	0	9.99850796019647	0	9.99850796019647	0	0	0.0117742340701708	18.0370569235983	0.000446418743143233	3.00675465142721e-05	0	1.33070284406513e-06	0.0135314108546796	0.000706620783964272	0.000358345178260966	1.51511327674911e-20	10.2230025530153	5.09532926341355e-08	0	0	0.0355748906545819	0.0220932647457273	0	1.93212153771443e-21	0	0	0	0.0230238993002412	0.0844890511170478	0.000900307727640989	9.07215804453493e-09	0.0136670724127942	9.99850796019647	0.0433967667115674	0.494989718116535	0.000865685885184293	2.48952470773756e-07	0	4.78564216472464e-05	0.00384781744578029	0.000383062758578845	0.021711284113229	9.99850796019647	0	0	0	0	0.104560434471958	0	0	0	0.000358739928460123	0	0.000509146421878183	0.00195728526237276	9.99850796019647	5.15622223499368e-21	3.45251689970401e-22	0.000223089671446286	0.00269348315877829	0.0190766892502052	0	1.66619009281727e-06	0	0.0108353412299279	0.00151879685600199	0.000540121623234379	0	4.62931830338101e-05	0	0.00207189175796025	0	4.21595154008264e-15	0	0	0.0478837131191704	0	0	1.66172968844603e-05	1.24022478264222e-05	0.00591458437441445	0.00125874128767056	0	3.92880332180517e-15	0	0	0	0	0.0342440622106676	0.000881505687812027	0	0	0	0	0	0	0	1.2584498973538e-18	1.28444710868752e-17	0.0241290401895599	0.000136951841641853	0	0	0	0	0	6.28172705518447e-05	0.0755054071811791	0	0	1.77458551474298e-05	0	0	0	0	9.99553131561487	9.99850052517096	0	0	0	1.11424733432005e-21	0	0.00304974193670654	1.29613551685466e-22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00337641961049335	1.05294695517214e-20	0	0	0	Halobacillus_sp_H. stevensii	1.99988999999995	atr2_1	atr2_1_00003
atr2_1_00004	0.114719748822516	0.0210944462079187	0.19766367977791	2.19596879459692	0.785586886696855	0.978482850932258	17.1524867093222	4.87935415858627	0.13287022048512	0.012467032926627	0.0149491793792769	0	0.00135764015034817	0	9.99794579606685	0.0139686673690828	9.99794579606685	0.0147383763853738	0.00131064948514713	0	9.90713306626622	0.00390220226652445	0	0	9.99794579606685	0	9.99794579606685	7.23042140015536e-06	0.000192178918143336	0.0043831326155141	16.7557673304591	0.000184646197263383	0.00963372053154131	1.84347566757029e-21	0.000132105856231885	0.00497685754931229	0.00199180773084976	0.000376658742923117	7.38427716089225e-16	10.3650048300292	1.47481457351919e-05	9.03316212871962e-33	6.7917378277354e-05	0.0151046427569392	0.0131620745292845	0	1.22187047905165e-17	1.26773780693561e-18	0	1.26785423529408e-05	0.00846904899986452	0.0347249216081807	0.00171205079234709	3.33764400151906e-09	0.00708330755825097	9.99794579606685	0.0159676740407458	0.183165404040655	0.000417111705714347	9.15648040619382e-08	0	2.12320793713817e-05	0.00248276381419402	0.000726168658195262	0.0230733287072905	9.99794579606685	0	0	0	0	0.107646036392126	6.16813595009536e-05	0	0	0.00134646596265223	0	0.000246544039148169	0.000908749288357388	9.99794579606685	0	0	0.00045524185139924	0.00186321246073821	0.0211411620463748	1.57469925434728e-07	4.95926623582641e-05	9.65602020315598e-05	0.0042664670055736	0.000799798846286523	0.000623423787071141	0	0.000101431797760387	0	0.00111751360146641	0	3.63363959225657e-15	0	0	0.0676054175099881	0	0	0.00101150851689681	4.68341966618002e-05	0.00273379291896963	0.00147619713860566	0.00126463040478907	3.78403543150039e-14	0	4.18715066764531e-18	0	0	0.0133747822775879	0.000881552731692399	1.9993126895895e-18	0	0	0	0	2.37581015274683e-17	0	0	1.12156263146956e-17	0.0262115159762979	0.000108186725931708	0	0	0	0	0	0.000153322590053528	0.082940966037718	0	0	6.52693160439699e-06	0	0	0	0	9.99393902257671	9.99784416169062	0	0	0	4.09820551394616e-22	0	0.00274366510685133	4.55743817566876e-18	1.67111569781328e-17	1.111149959829e-17	8.91367421345898e-19	0	2.01438259551001e-17	6.33026112944496e-18	0	0	0	0	0	0	0	0	0.00594014558678894	2.37486364817488e-17	0	0	0	Halobacillus_sp	2.99996999999992	atr2_1	atr2_1_00004
atr2_1_00005	0.129824674513743	0.0356818569731844	0.221247924014829	2.6485053129543	0.736148558023009	0.42543972075103	17.1953223042221	5.12972063374927	0.452449189493057	0.00459288750585908	0.00565799934056549	0	0.000513066059262875	0	9.99762294909565	0.00521686184938523	9.99762294909565	0.00542681779422659	0.000709163750766899	0	9.89551489637895	0.00241583208101676	6.09094751276428e-20	0	9.99762294909566	5.82731713006577e-20	9.99762294909565	2.77374924707481e-05	0.000269482185668044	0.00217732970236629	15.1069506739626	9.1723359749299e-05	0.00764349365643043	0	0.000110246866500831	0.00183048991211295	0.000781552413850813	0.00024284789119352	1.81515357656918e-15	10.5119471819625	3.11711777955016e-05	9.03316212871962e-33	2.74392916433663e-05	0.00557563587398905	0.00621902039647022	0	4.49403633541483e-18	4.67762620322861e-19	0	3.19568719072172e-05	0.0031173702075592	0.0128051967235298	0.000635378706893027	1.2325690886454e-09	0.00261275694901631	9.99762294909565	0.00588165274369677	0.0674211519153088	0.00029444269655596	3.36775663115249e-08	0	7.80916473781506e-06	0.00099849420105183	0.000719787041362858	0.0322724976084245	9.99762294909565	0	1.10183841249451e-21	0	0	0.10851353546884	0.000132160251865764	0	0	0.000640265492999846	0	0.000130275956978377	0.000438528125859865	9.99762294909565	1.22195889270547e-18	1.25508693953476e-20	0.000290206775294798	0.00073301345006799	0.0218147243505575	1.27611882857747e-07	2.22958520654452e-05	4.04159136673562e-05	0.0018451215050791	0.00031818979256602	0.00872728443963607	0	7.18648983249193e-05	0	0.000536941366570325	0	2.53261711694244e-15	0	0	0.0679734563057816	3.54239837961623e-20	0	0.000969864484048239	4.22161428039766e-05	0.00105501918319615	0.000555886209425425	0.00137310369198628	6.64537325064902e-14	0	5.31509655971717e-18	0	0	0.00580743588074935	0.000881552731692399	3.67712679034137e-18	0	0	0	0	9.24480278741895e-18	1.29474822728767e-21	1.91877772051631e-17	2.23864199656636e-17	0.0357851865723386	4.78615005500107e-05	0	0	0	0	0	6.35513298985604e-05	0.0856757671331805	0	0	2.40060768075446e-06	0	0	0	0	9.99305515864337	9.9974366377392	0	0	0	1.5073213924077e-22	3.29026252450741e-25	0.00135605997795044	1.66774127566025e-18	1.66506773759922e-16	3.88414947015644e-18	3.27845243025947e-19	0	7.58114845266302e-18	2.3282391336524e-18	0	0	0	0	4.4042748771731e-20	0	0	0	0.0065382524833418	9.54890384598107e-18	0	0	1.31946861867231e-16	ATRAZINE	4.00004999999989	atr2_1	atr2_1_00005
atr2_1_00006	0.136268992586725	0.0411446828377863	0.243899291498736	2.86692707699174	0.588576384651251	0.159391494892745	17.224860493206	5.24324598322662	0.881098491148807	0.00169812430972277	0.00228783609184987	0	0.000195077013558991	0	9.99737977738151	0.00193826334182171	9.99737977738151	0.00202324625210087	0.000352136484072662	0	9.88624275277749	0.00149842186364022	2.30439407815514e-20	0	9.99737977738152	4.15615043156328e-19	9.99737977738151	1.9372318001803e-05	0.00049111365130551	0.00101439282677517	13.3150284103841	4.27275517492071e-05	0.0070594006878303	5.71163480767014e-23	6.88811952569731e-05	0.000673254816949765	0.000318823583107342	0.000226027538804227	2.27460805378638e-15	10.6606981494683	1.54429839884337e-05	9.03316212871962e-33	3.48203982417718e-05	0.00209847672555913	0.00413152230187991	0	1.65194819266611e-18	0	0	1.87240850027092e-05	0.00115310297583384	0.00482021324376535	0.000245612398635765	3.94693158407517e-08	0.00100019714232202	9.99737977738151	0.00220578339601446	0.0248392213426081	0.000134022647547644	1.23866204300503e-08	0	2.87221346662553e-06	0.000576376023802897	0.000711680150655273	0.038735093497275	9.99737977738151	0	0	0	0	0.110665825315534	0.00025230570662407	0	0	0.000802391013475821	0	0.000145459059593591	0.000269748119865593	9.99737977738151	1.79785550548725e-15	3.06937922666093e-18	0.000149948208152684	0.000396688684580599	0.0235214042522544	4.69356942452826e-08	1.35062539266676e-05	6.69614069012767e-05	0.00138366745532958	0.000150301391675896	0.0140887388644892	0	0.000160613607749243	0	0.000418095415369966	0	2.05925575869159e-15	0	0	0.0665239209290441	3.54218592950496e-20	0	0.00119484876494874	2.24217660217832e-05	0.00044891911767467	0.000217322934582093	0.00152275017054595	6.58542090889157e-14	0	2.20711028111793e-18	0	0	0.00252633765837788	0.000881552731692399	3.21029533981649e-18	0	0	0	0	3.59967924803667e-18	0	5.84299947034739e-16	2.05103194242369e-17	0.0426074707102393	7.48480889530078e-05	0	0	0	0	0	7.95389930861293e-05	0.0866816279132564	0	0	8.829443276248e-07	0	0	0	0	9.99230143772542	9.99721767180051	0	0	0	5.54393324658371e-23	0	0.000650990889758189	6.17681671050293e-19	2.05209296333692e-16	0	1.89419824583327e-19	8.4650318856742e-19	2.7883489988071e-18	8.64784241644011e-19	0	0	0	0	0	0	0	0	0.00798635886066103	3.51717544117748e-18	1.02040347488703e-20	0	4.55586756850805e-17	END	5.00013000000151	atr2_1	atr2_1_00006
atr2_10_00001	5.4877122810908e-05	0	5.66613435143273e-05	2.69952941091472e-05	1.93729416207722e-05	10.0000135510584	10.0000269952941	0	0	0.249973004705891	1.16054113249649e-05	0	0	0	9.99999991849503	0.279987887932302	9.99999991849503	0.259999947599861	0	0	9.99999747038754	0	0	0	9.99999991849503	0	9.99999991849503	0	0	0.05998725039273	10	0	0	0	0	0.0999730047058909	0	0	0	10.0000044343673	0	0	0	0.229985754313161	0.159995140764762	0	0	0	0	0	0.1699856033428	0.459989241532875	0	0	7.8895458340127e-06	9.99999991849503	0.31999924181416	3.51001191849181	4.43480483603051e-06	4.43881596687743e-07	0	0	0	0	2.99819796672783e-07	9.99999991849503	0	0	0	0	0	0	0	0	0	0	0	0	9.99999991849503	0	0	0	0	0	0	0	0	0.0799943151002452	0	0	0	0	0	0	0	1.97044873710254e-21	0	0	0	0	0	0	0	0	3.05636940853978e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.49729695009174e-07	0	0	0	0	0	0	0	0.149995484127705	0	0	4.51587229522215e-06	0	0	0	0	9.9999997001802	9.99999997379993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.55001734119862e-09	0	0	0	0	ROOT_EXUDATE	0	atr2_10	atr2_10_00001
atr2_10_00002	0.0612576550575324	0	0.0867509592336582	0.344463238696851	0.133678037465225	3.78108333907856	15.7861812808964	3.06237014017393	0.0595182645302946	0.0920639574552024	0.00886723904273374	0	0.000763493314561129	0	9.99912208299457	0.103147864846705	9.99912208299457	0.0974555721297899	3.1688100860833e-05	0	9.96698474725961	0	0	0	9.99912208299459	0	9.99912208299457	0	1.11500558200831e-06	0.0222967290414992	18.3107262166436	0.000305570272898725	0.000555804025807693	1.76588369147185e-17	3.54699141977379e-05	0.0367800359994233	0.000487022656588783	0.000146624242029957	0	10.093684407579	0	0	0	0.130261035550712	0.0598272039228047	0	4.06072713093194e-21	0	0	0.000140929521265544	0.0625732399214849	0.173414801715534	0.00831930611403755	2.23851551682665e-06	0.00922646588968585	9.99912208299457	0.117942948622437	1.35197832987262	0.0012208615116729	3.59353222567742e-07	0	3.6443066025115e-05	0.00024084523739112	0.000188193592560365	0.00336738064081247	9.99912208299457	0	1.99770800992034e-17	0	0	0.0985123163939128	0	0	0	0.000598070590015969	0	0.000178084998280164	0.000137685499527429	9.99912208299457	0	0	0.000456741482398131	0.000508812823587373	0.000486290986798742	3.33097613302773e-06	5.35175537317472e-05	0	0.0294487339985884	5.33523900718854e-05	0.00035554194398601	0	6.45486715109211e-06	0	0.000470102017116727	0	3.71442307526155e-21	0	1.03353374164155e-06	0.0263178933422027	0	0	9.22182392944438e-07	4.20077447255396e-05	0.00075589757832221	0.00560014620891817	0	8.84648201837933e-16	0	0	0	0	0.00967729085069471	7.11333581128809e-05	0	0	0	0	0	0	0	0	0	0.00474417680541789	0.00010311740651648	0	0	0	0	0	0.00272257523055703	0.0554376754155261	0	0	9.17369018594564e-05	0	0	0	0	9.99770644811315	9.99878188386514	0	0	0	1.67235449131532e-19	0	0.000585715076042149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00059099923770619	0	0	0	0	Halobacillus_sp	0.999809999999977	atr2_10	atr2_10_00002
atr2_10_00003	0.0910837903717398	0.0225733656283635	0.141488561302718	0.440701502718797	1.16798659832372	1.39068944233987	16.5955403714623	4.2111538080018	0.0361080382077747	0.0338611724212343	0.0106517127555564	0	0.0027985744597341	5.16834487089458e-17	9.99844289950535	0.03794603564212	9.99844289950535	0.0388975963963521	0.000226418083470427	0	9.93501887275245	0.00074191250978147	0	9.31639554943861e-06	9.99844289950536	0	9.99844289950535	1.073693745231e-05	0.0018139308451796	0.00998743797927336	19.8217434094614	0.00018632897294782	0.000968111536310963	0	0.0199854894152859	0.013579757549385	0.00678892914743897	0.000130965673540087	0	10.2224762308305	9.76783538711147e-05	0	0.0296296496023055	0.0751174779589614	0.0236336694075385	0	4.88989369709315e-17	0	0	0.000109606212693323	0.0230321502540245	0.0702445567279202	0.00578182625350922	8.24884543726208e-07	0.00723664102533044	9.99844289950535	0.0433794569201728	0.497258093024812	0.000473087781237564	1.32170238404037e-07	0	0.000157253746345429	0.0014442154661885	0.00022573071991046	0.0137066115660413	9.99844289950535	8.36787023290885e-19	3.51677239863601e-17	0	0	0.105402866568916	0.000774479744545679	0	0	0.00147793783089288	0	0.000161238444264737	5.95933051175141e-05	9.99844289950535	0	2.04983230535779e-17	0.000199990524376907	0.00102325604423963	0.00969579395377133	1.33775157559805e-06	0.000244096224494714	0.00623120650906998	0.0109103847107322	0.000244427089657267	0.00483402120515396	0	8.01865769770379e-06	0	0.000541613488781079	0	3.48321143161492e-21	0	1.15808004946908e-06	0.0413899582446639	0	0	0.000636061265994311	4.26247647946278e-05	0.00261795250016838	0.00577876833486294	0.0032656081775571	0	0	0	0	0	0.0143731665672305	0.00063447343272005	1.32799796893504e-16	0	0	0	0	2.7100587840091e-17	2.7720048441388e-18	3.71704339143278e-14	9.40864686895173e-15	0.0159526133351969	0.000142748861963355	0	0	0	0	0	0.0063889645063892	0.0759666686749278	0	0	3.37408639404268e-05	0	0	0	0	9.99576086927683	9.99801072874452	0	0	0	0	0	0.000441168889603567	0	0	8.46269945877416e-16	0	0	1.53459772273424e-19	0	0	1.05626372509559e-17	8.62395884619444e-19	1.3883024849154e-16	0	0	0	0	0.0061358158851355	2.78769939545985e-20	0	0	0	Halobacillus_sp	1.99988999999995	atr2_10	atr2_10_00003
atr2_10_00004	0.108415778111102	0.0416638862671213	0.184144330655506	0.444325041771007	1.75981049056896	0.511496053455839	16.7520178723044	4.61176897746587	0.0974776636991255	0.0124564463598323	0.00709915743008121	0	0.00307462637694898	9.17195443952667e-17	9.99792598195704	0.0139565649125677	9.99792598195704	0.0159044059298798	0.000693096838842159	0	9.91325173978073	0.00753458838905785	0	3.44141030053493e-06	9.99792598195704	1.13264708272439e-17	9.99792598195704	2.13165304459649e-05	0.000896335951829265	0.00426638835576806	20.2397269402566	0.000103866231144643	0.00910399314412268	1.22497830475504e-17	0.0088701167365204	0.00499463948019249	0.00349455474686949	0.000110703064976836	0	10.3647419307489	0.000168154525813357	0	0.0109010498602233	0.0328177014273713	0.0172569086149789	0	0	0	0	4.98764361294552e-05	0.00848023600269728	0.0302544341207318	0.00406869837567328	1.93474505696619e-06	0.00452069469668863	9.99792598195704	0.0159551366759595	0.183574647067385	0.000200037089267251	4.86122589772708e-08	0	6.60999193987816e-05	0.00100880015795828	0.000657895007420065	0.0189262949782259	9.99792598195704	0	0	0	0	0.110756073873033	0.000788806808457964	0	0	0.00429097199132291	0	8.71703168894841e-05	0.000168938173500405	9.99792598195704	0	1.13300150859238e-16	0.000355498639512404	0.000956456358529178	0.0148813410808819	4.92025486715493e-07	0.000224715927784316	0.00248825806148982	0.00425537148050376	0.00051600058205972	0.0079271942658362	0	0.000127186040604294	0	0.00058168231979925	0	3.12151946741327e-21	0	1.15808004947163e-06	0.0814364566420553	0	0	0.0016162910586541	6.92524111165625e-05	0.00125025935435915	0.00312229828855239	0.00777540045369187	0	0	0	0	0	0.00725450044785068	0.000672886131321381	0	0	0	0	0	4.89477463606375e-17	7.70638192187047e-18	1.01589865675094e-14	5.86773207228988e-15	0.0218496412386358	0.000103694935002842	0	0	0	0	0	0.00289703425108221	0.0831840512084383	0	0	1.24099013196513e-05	0	0	0	0	9.99430194088008	9.99740198694804	0	0	0	0	1.0338330596464e-17	0.002604881517058	1.97193722879375e-17	2.14035591941512e-17	0	0	0	5.63892596266447e-17	0	0	0	2.28009924457309e-16	5.10618129697152e-17	0	0	0	0	0.0108887907234176	2.1502905650582e-16	0	4.48501615716779e-16	1.65506634450296e-17	PHOSPHATE	2.99996999999992	atr2_10	atr2_10_00004
