H..stevensii	Halobacillus_sp	kb_g_684_fbamdl3_Arthrobacter	cpd00001_e0	cpd00007_e0	cpd00009_e0	cpd00011_e0	cpd00012_e0	cpd00013_e0	cpd00023_e0	cpd00024_e0	cpd00025_e0	cpd00027_e0	cpd00028_e0	cpd00030_e0	cpd00033_e0	cpd00034_e0	cpd00036_e0	cpd00039_e0	cpd00041_e0	cpd00048_e0	cpd00051_e0	cpd00053_e0	cpd00054_e0	cpd00058_e0	cpd00060_e0	cpd00063_e0	cpd00064_e0	cpd00065_e0	cpd00066_e0	cpd00067_e0	cpd00069_e0	cpd00073_e0	cpd00075_e0	cpd00076_e0	cpd00080_e0	cpd00082_e0	cpd00092_e0	cpd00098_e0	cpd00099_e0	cpd00100_e0	cpd00104_e0	cpd00105_e0	cpd00106_e0	cpd00107_e0	cpd00117_e0	cpd00118_e0	cpd00119_e0	cpd00121_e0	cpd00122_e0	cpd00129_e0	cpd00130_e0	cpd00137_e0	cpd00138_e0	cpd00142_e0	cpd00149_e0	cpd00156_e0	cpd00159_e0	cpd00162_e0	cpd00176_e0	cpd00178_e0	cpd00179_e0	cpd00182_e0	cpd00184_e0	cpd00204_e0	cpd00205_e0	cpd00208_e0	cpd00209_e0	cpd00210_e0	cpd00211_e0	cpd00214_e0	cpd00220_e0	cpd00221_e0	cpd00224_e0	cpd00226_e0	cpd00244_e0	cpd00246_e0	cpd00249_e0	cpd00254_e0	cpd00264_e0	cpd00268_e0	cpd00276_e0	cpd00277_e0	cpd00305_e0	cpd00307_e0	cpd00309_e0	cpd00314_e0	cpd00322_e0	cpd00367_e0	cpd00393_e0	cpd00395_e0	cpd00412_e0	cpd00423_e0	cpd00438_e0	cpd00531_e0	cpd00540_e0	cpd00550_e0	cpd00588_e0	cpd00591_e0	cpd00635_e0	cpd00637_e0	cpd00644_e0	cpd00654_e0	cpd00794_e0	cpd00797_e0	cpd00910_e0	cpd00971_e0	cpd01012_e0	cpd01017_e0	cpd01030_e0	cpd01048_e0	cpd01080_e0	cpd01092_e0	cpd01133_e0	cpd01171_e0	cpd01242_e0	cpd01262_e0	cpd01329_e0	cpd01914_e0	cpd02021_e0	cpd02894_e0	cpd03048_e0	cpd03091_e0	cpd03279_e0	cpd03343_e0	cpd03424_e0	cpd03696_e0	cpd03724_e0	cpd03725_e0	cpd03847_e0	cpd03959_e0	cpd04097_e0	cpd04098_e0	cpd04129_e0	cpd08023_e0	cpd08305_e0	cpd08306_e0	cpd09878_e0	cpd10515_e0	cpd10516_e0	cpd11575_e0	cpd11576_e0	cpd11578_e0	cpd11579_e0	cpd11580_e0	cpd11581_e0	cpd11582_e0	cpd11583_e0	cpd11584_e0	cpd11585_e0	cpd11586_e0	cpd11587_e0	cpd11588_e0	cpd11589_e0	cpd11590_e0	cpd11591_e0	cpd11592_e0	cpd11593_e0	cpd11596_e0	cpd11597_e0	cpd11606_e0	cpd15378_e0	cpd15603_e0	cpd15604_e0	cpd15605_e0	cpd15606_e0	Perturbations	time	subject	id
atr2_1_00001	5.37727117214468e-05	5.14362122068981e-05	2.50199295585891e-05	2.45585834322983e-05	4.01185580228598e-06	0.100009898053667	10.0000328614742	0	0	0.24997337298051	1.09400078545318e-05	0	0	0	9.99999994240529	0.280004084659472	9.99999994240529	0.259981640962632	0	0	9.99999813273405	0	0	0	9.99999994240529	0	9.99999994240529	0	0	0.0599943701603949	10.0000006852309	0	0	0	0	0.0999804117276365	0	0	0	10.0000019364774	0	0	0	0.23	0.160000892299765	0	0	0	0	0	0.169973304825268	0.459990188512139	6.01282569321062e-22	0	0	9.99999994240529	0.319998519764631	3.51001947474609	0	1.96004640777325e-07	0	0	0	0	1.32391322332953e-07	9.99999994240529	0	0	0	0	2.0456004935665e-21	0	0	0	0	0	0	0	9.99999994240529	0	0	0	0	0	0	0	0	0.0799963119061741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.072184978258e-05	0	1.20719067438793e-20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.9858698349943e-07	0	0	0	0	0	0	0	0.149998005927856	0	0	1.9940721436207e-06	0	0	0	0	9.99999978769344	9.99999998192771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.44968823611285e-08	0	0	0	0	ROOT_EXUDATE_noP	0	atr2_1	atr2_1_00001
atr2_1_00002	0.0385709189939753	0.0197238730179751	0.054480795685151	0.678840614395599	0.45812035019203	0.0369195807108071	12.4153590685817	0.00146515541531467	0.0177485568109494	0.0928103354111642	0.0278180461387924	0	0.0427341455374616	1.83133458074982e-17	9.99929212263863	0.105242026213024	9.99929212263863	0.123937327563474	0.00265955174759765	0	9.95467931941097	0.0015973797069273	0	6.80730398622032e-05	9.99929212263863	0	9.99929212263863	6.35061147463544e-05	0.00483184789178044	0.0226432225593014	24.4952370119606	0.000344789201000125	0.00416865037166037	1.55244632813596e-18	0.00859380252291502	0.0367868234805909	0.146965332412785	0.000416424136446498	0	10.0919199468331	0.00348311989043079	0	0.00735025743800398	0.246741374578964	0.0681927749430935	2.6810075699991e-05	4.47261877687646e-19	0	0	1.38428004506102e-05	0.0634735245241972	0.196691384778169	0.0101139041466655	8.23740282497644e-05	0.0155943491147838	9.99929212263863	0.122591251610645	1.38121986003756	0.0113762235173314	0.000275802644527769	0	0.012402158672329	0.00222800726135563	0.00215830537723402	0.0117914834274959	9.99929212263863	0	4.05558661981728e-17	4.09413127696241e-25	0	0.100242601199552	0.00134680842081888	0	0	0.00268580399329081	0	0.000972056279752751	0.000933285769257475	9.99929212263863	0	0	0.015658051726493	0.0039918410022066	0.0205810806729122	2.15941460061945e-05	0.000366593403927778	0.00613543436808513	0.0316664655779394	0.000119848640220732	0.0061880268471218	1.91101530731209e-22	0.000841976573727499	0	0.00151078660057969	0	0	0	0.00511614835413757	0.0257241525104186	0	0	0.00429305365027348	0.00033278044492331	0.00632093371786743	0.0405515549019893	0.0103332271632415	1.45441193508239e-13	0	0	0	0	0.0551784188515413	0.00217387355485342	0	0	1.07631150923931e-19	0	0	9.00570566967356e-17	0	0	4.38698587035558e-17	0.0126562701591906	0.00199794836349659	0	0	0	0	0	0.00838357341984797	0.0573721758055106	0	0	0.000496688319252314	0	0	0	0	9.99785338793506	9.99931510261944	0	0	0	5.36304769733352e-20	0	0.00293104910153822	5.47496888517911e-15	7.32712166159091e-18	1.46241753742944e-19	6.88239484788478e-19	2.26801025161829e-17	9.81514243675202e-18	0	0	0	2.95302714458277e-18	0	0	1.65346359863723e-20	0	1.03415611342418e-16	0.0172881037700641	2.76682452897496e-17	4.97802535533029e-18	1.03884688050951e-17	2.2447524075505e-17	Halobacillus_sp_H. stevensii	0.999809999999977	atr2_1	atr2_1_00002
atr2_1_00003	0.0633986466979342	0.0299305607103164	0.0708385683676818	1.30381401007821	0.552374185579665	0.0135790344370839	13.6718645173119	0.00167742660171459	0.0207530804631341	0.0352046754677924	0.0170703578068004	0	0.0244192630357033	3.44349092379598e-16	9.99904185448315	0.0421424198226237	9.99904185448315	0.093389721680098	0.00443010870045723	0	9.92247100050083	0.00230468542541089	0	2.50372873886744e-05	9.99904185448315	6.26979354598443e-16	9.99904185448315	0.000247154915321785	0.00918059622549341	0.0083281850167195	60.6737743512001	0.000283820126964046	0.00452795042457729	6.23841069492072e-19	0.00392854087467149	0.013530206282317	0.159280995348448	0.000546429697367777	0	10.2225081531245	0.00286782367849919	2.17347808683232e-18	0.0193022113548246	0.113757870494719	0.0329430794050428	2.66800773334607e-05	1.70141128156194e-17	2.10651058269688e-17	0	0.000286551953331792	0.0246433287879537	0.0846891990364959	0.0514941560431162	0.000293069046571161	0.0106349974715896	9.99904185448315	0.0611383183008702	0.514498423906698	0.0554611219586489	0.000214783768708358	0	0.0125530390674087	0.00465648090626204	0.0096505860032592	0.038058605768659	9.99904185448315	0	1.98267767533032e-17	1.50582288664891e-25	0	0.240986448239775	0.00154957690112255	0	0	0.0049808820637362	0	0.00188938572251454	0.000955177594027942	9.99904185448315	3.04455950304383e-16	0	0.0104888161996692	0.00629805817616768	0.0429692153245541	1.10739664893972e-05	0.000613787675376449	0.00836229671771813	0.018246442714469	0.000403351795038426	0.0221795872215627	1.02815658780521e-22	0.000598796706626388	0	0.00316155239238948	0	0	0	0.00511614835413757	0.0119048969766921	0	0	0.0108474970710149	0.000439833525515693	0.00479763106386971	0.018564050752273	0.0118531297074078	1.74475890030065e-13	0	0	0	0	0.0279225231599371	0.0360842772292742	2.41924602849829e-15	0	1.34164408345247e-18	0	0	1.95564523290935e-17	4.15846881593386e-18	0	8.64210924473578e-17	0.0391894122939602	0.00152868472020435	0	0	0	0	0	0.00525099336941785	0.0765337013586391	0	0	0.000182682134026789	0	0	0	0	9.99704934228558	9.99911807564708	0	0	0	2.86482641902041e-20	0	0.00279936691886303	3.97176846655562e-15	0	7.17070693579663e-17	7.25612320905411e-19	1.81727560188832e-18	5.48023470161765e-17	1.15786525682304e-17	0	2.60913531541748e-16	1.65541876289237e-16	0	0	3.89901520499528e-18	0	1.16013772033727e-15	0.0302250298253834	6.00786395878425e-17	0	5.65354393408107e-16	0	H. stevensii	1.99988999999995	atr2_1	atr2_1_00003
atr2_1_00004	0.0754997473678201	0.032135240322088	0.0767434851214857	2.10760125898151	1.0243574056378	0.00499437351924032	13.9510983588237	0.00167742660171459	0.102367985350526	0.0135194346942598	0.00781428122281143	0	0.00918491135878644	3.41639782548201e-15	9.99895052438688	0.0240587964774904	9.99895052438688	0.0358417157093196	0.00257997936685269	0	9.89877314603541	0.00166952517303197	0	9.2087228813641e-06	9.99895052438688	4.00694761105839e-16	9.99895052438688	0.000321856867018007	0.00935353054063286	0.0030631093030625	92.8479035693376	0.000170830552368081	0.0235615512567323	2.29448959137839e-19	0.00201727164671382	0.00497641450718456	0.0597542968739864	0.000743277445774155	0	10.3656313513983	0.00262314329822991	2.17347808683232e-18	0.0125688452265135	0.0424653691665256	0.0149818077517142	2.66800773334607e-05	9.5887012710305e-18	3.51260245990591e-17	0	0.00152311456718284	0.00952639095876028	0.0316712553517321	0.0261030600844053	0.000186697780016192	0.00391155571446515	9.99895052438688	0.0241107853530712	0.192880055586691	0.0618991017397883	0.000214783768708358	0	0.00603875958678936	0.00265137412951656	0.0103558614700347	0.0674913959247959	9.99895052438688	0	7.2922952841301e-18	5.53842173726777e-26	0	0.405738133578599	0.00198770799541188	0	0	0.00724085697013283	0	0.00205435727168284	0.00143561211056975	9.99895052438688	2.5184040307028e-16	1.43039161440785e-17	0.00398073560064578	0.00330264371007904	0.0629622187343828	6.6402389124969e-06	0.000910569352723566	0.00843511957266741	0.00870585315211328	0.00104528227352542	0.0514002747845855	3.78156345324769e-23	0.000952552421091602	0	0.00181322821403346	0	0	0	0.00511614835413757	0.005778705970391	3.54584895063473e-23	0	0.0125120372204876	0.000413816309211011	0.00290696039986877	0.0069125159048617	0.0121475496813014	2.11857353206895e-13	0	6.55519375396938e-18	0	0	0.0102699135867478	0.0816562280785743	2.59112650641461e-14	0	5.95005157436965e-16	0	0	3.58408846089975e-17	1.52948625552988e-18	0	3.17857074170286e-17	0.0687162716147869	0.00079497658116488	0	0	0	0	0	0.00193131716068889	0.0833191729885656	0	0	6.71905514967994e-05	0	0	0	0	9.99679083057829	9.99901126696916	0	0	0	1.05368413863808e-20	0	0.00187433636252908	0	0	0	1.85226345873053e-17	1.39141325184537e-18	4.96351279577691e-17	6.72086745349227e-17	0	4.33203576308455e-16	1.33338841821107e-16	1.67279221634333e-17	2.06586679085118e-17	1.43405912851677e-18	0	6.68884126032315e-15	0.0503093633315017	2.79713607208147e-17	0	4.81601031524459e-16	0	Halobacillus_sp	2.99996999999992	atr2_1	atr2_1_00004
atr2_1_00005	0.0786988012562429	0.0364118132533377	0.0788504182390733	2.27700244907218	1.11389431721044	0.00183693229185489	14.0498593736133	0.00167742660171459	0.296968641599893	0.00630048298851968	0.00710705602012189	0	0.00359899362095609	2.37959253385869e-15	9.99891693060314	0.036917341492246	9.99891693060314	0.0164817192824923	0.00192665388686686	0	9.8949310656754	0.000967954879194678	0	3.38697143142264e-06	9.99891693060314	1.80570212566943e-16	9.99891693060314	0.00041460940682114	0.00957872197439531	0.0011266126513366	100.271165158626	0.000103574855138504	0.00905999403257617	8.43914057987596e-20	0.00127101585122138	0.00183032696106656	0.0220252376449137	0.00105971935859506	1.26839203261599e-23	10.5131020588238	0.00214293631661274	2.17347808683232e-18	0.0092467656558125	0.0157651280485536	0.00677413007652391	2.66800773334607e-05	3.52672761335342e-18	2.61035833915618e-17	0	0.00453733301566642	0.00547479899452205	0.012258175443822	0.00991223561910765	9.30444451366227e-05	0.00143867153219719	9.99891693060314	0.00904520479545221	0.0723909499070999	0.0663755320386562	0.000214783768708358	0	0.00384682101423833	0.00130335938447979	0.0106109090715073	0.0889519957827524	9.99891693060314	0	2.68210870443613e-18	2.03703341288053e-26	0	0.488398504904585	0.00226226943178346	0	0	0.00431670787332938	0	0.00126814403013635	0.00110295015015726	9.99891693060314	1.29545090951727e-16	8.58395950174759e-18	0.00207504425989264	0.0016547623686213	0.0654417506320967	4.48278676740183e-06	0.000927995242557814	0.00502792420225725	0.00349569797162554	0.000989725485079168	0.0727918256330392	1.39086033397548e-23	0.000730656344933478	0	0.00096117192970678	0	1.28384523206191e-19	0	0.00511614835413757	0.00372254495993179	3.54584895063473e-23	0	0.0134050063492609	0.000288124258537291	0.00243921568152259	0.00387356471013136	0.0125780596493773	2.28396519846044e-13	0	2.75662481968301e-18	0	0	0.00377727773651295	0.161466185643741	1.97560276430075e-14	0	4.04384149900074e-16	0	0	2.04009735362783e-17	0	0	1.16907940803499e-17	0.0902103281320142	0.000546141591636518	0	0	0	0	0	0.000710339113526731	0.0858148717793066	0	0	2.47127078654669e-05	0	0	0	0	9.99670303819032	9.99896468422208	0	0	0	3.87545387268914e-21	5.3120708697242e-19	0.00126689203919507	2.65060066279018e-18	0	6.35217338653584e-17	1.09019564921489e-17	8.08598061510219e-19	2.73272679745665e-17	3.09888142360878e-17	0	2.31178644873469e-16	9.57594217088588e-17	8.14527498923146e-18	9.9616273177448e-18	5.27447438893682e-19	5.93842521432181e-20	5.44948992831762e-15	0.0528224890129843	1.28055582724913e-17	0	3.02841679248971e-16	6.52787184416665e-18	ATRAZINE	4.00004999999989	atr2_1	atr2_1_00005
atr2_1_00006	0.0798505461458504	0.0367220816766445	0.0796537403214751	2.1633858451005	1.03397000733955	0.00067562432642653	14.1147534385816	0.00167742660171459	0.465738174091209	0.00342842130094398	0.0114487869212957	0	0.00185057594262561	1.84728584820466e-15	9.99890452273481	0.0400080092289926	9.99890452273481	0.00840494438089239	0.0018523111928872	0	9.89381305694207	0.000829185758756514	0	1.24572925312895e-06	9.99890452273476	1.05864693079325e-16	9.99890452273481	0.000577730226095449	0.00975485469191768	0.000414368519230663	106.884506515178	6.21354271578397e-05	0.00357093636163944	3.10391879721384e-20	0.000859166830011638	0.000673194883499062	0.00814954810151574	0.00171912632981945	6.32462741811017e-24	10.662171732085	0.00116977633430177	2.17347808683232e-18	0.0087288146008675	0.00586573501511788	0.00384746401410955	2.66800773334607e-05	1.29713162473491e-18	9.60090691662569e-18	0	0.00947663769094952	0.00588283327169088	0.00560517369924189	0.00364572365744535	5.58702427007183e-05	0.000529143882547923	9.99890452273481	0.00368185937914925	0.0271196320936527	0.0669526287534248	0.000214783768708358	0	0.00332780185850297	0.000804977709527439	0.0108506413533423	0.107347780824416	9.99890452273481	0	9.8648050060004e-19	7.49221587310666e-27	0	0.526484684381501	0.0023990559868227	0	0	0.00248591754894881	0	0.000688184788113046	0.000846727752640553	9.99890452273481	7.68835340796511e-17	3.15718324630497e-18	0.00155116925391282	0.00101486008097559	0.0660606021532532	4.48278676742513e-06	0.000770217135246267	0.00257802711513559	0.00142499488441575	0.000719972535020366	0.0911684763654773	5.11558907457979e-24	0.000614945575927299	0	0.000663787963529402	0	1.28390882499099e-19	0	0.00511614835413757	0.0027592251214509	3.54584895063473e-23	0	0.0142987426480561	0.000251362361489112	0.00219591500293965	0.00214329057857826	0.0127788808515782	2.86760088826191e-13	0	2.78913856366513e-18	0	0	0.0013892840458918	0.25409518232103	1.65364191440134e-14	0	2.84577199113102e-16	0	0	1.68350725736882e-17	0	0	4.29987806896892e-18	0.10861886937983	0.000360983194120555	0	0	0	0	0	0.000261262969373469	0.0867327906497699	0	0	9.089342421501e-06	0	0	0	0	9.99667013550195	9.99894795543723	0	0	0	1.42539326242054e-21	3.33218682626734e-19	0.000880328588778749	2.55531865213952e-18	1.77967841872823e-19	8.64899055044418e-16	7.05793269157375e-18	5.35522374934826e-19	1.64393514807192e-17	1.99870219242791e-17	0	1.81130176620181e-16	1.47239958935156e-16	5.60375837414078e-18	6.34901254289257e-18	1.93995348771459e-19	5.93842521432181e-20	4.72511528169479e-15	0.0534537484024437	7.57604319150301e-18	0	1.84819841323851e-16	8.61461109796286e-18	END	5.00013000000151	atr2_1	atr2_1_00006
atr2_10_00001	4.37999116126125e-05	5.35117373261376e-05	4.73324800698767e-05	3.58194634925745e-05	9.26313290653848e-06	0.100007866581891	10.0000358194635	0	0	0.249964180536507	9.26280322700216e-06	0	0	0	9.99999991306418	0.280001034786033	9.99999991306418	0.259986159320479	0	0	9.99999737990891	0	0	0	9.99999991306418	0	9.99999991306418	0	0	0.0599893495195388	9.99999290083301	0	3.81875509464057e-08	0	0	0.0999779793931099	0	0	0	10.0000036854321	0	0	0	0.229997779394735	0.159999632483706	0	0	0	0	0	0.169974236077957	0.459991413181212	0	0	6.29700305870853e-06	9.99999991306418	0.319998616657001	3.51001898099386	0	3.70799835046391e-07	0	0	0	0	2.50456725350702e-07	9.99999991306418	0	0	0	0	0	0	0	0	0	0	0	0	9.99999991306418	0	0	0	0	0	0	0	0	0.0799944265171799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.57127444644052e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.75685088026047e-07	0	0	0	0	0	0	0	0.149996227632065	0	0	3.77236793472192e-06	0	0	0	0	9.99999969226195	9.99999995999477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.43216403085027e-08	0	0	0	0	ROOT_EXUDATE_noP	0	atr2_10	atr2_10_00001
atr2_10_00002	0.0366652095816152	0.0191500351413965	0.0580948894249407	0.0741826668767733	0.0615327920198336	0.0368771555686876	14.0184162929813	0.000382736687453172	0.00689672676385717	0.0920716480820089	0.00652139387299303	0	0.0104736056782843	0	9.99927401842251	0.103412967146809	9.99927401842251	0.111063363505223	0.0102541778885712	0	9.95629987968393	0.00111962862680196	0	2.43141932745781e-05	9.99927401842259	5.89266198797443e-17	9.99927401842251	1.61639269085019e-05	0.024268738179805	0.0604441417580017	30.6873940882616	0.00121976575583328	0.0017133875827582	1.43892318266398e-17	0.00780626572273885	0.0367827450805284	0.00805722272099761	0.000370475978997041	0	10.0904268254298	0.00263219780243243	1.76006046862499e-19	0.004707392556916	0.182712549744435	0.0639534640361232	2.03861183114254e-05	0	0	0.00059734577854242	3.5373481957727e-05	0.0627019631721148	0.198427796390963	0.00110908229911451	0.000178913493332186	0.00574327400825082	9.99927401842251	0.118061783778572	1.35324214489601	0.00608292533740235	2.52417518198649e-06	0	0.00189225428086644	0.00191672464471403	0.000403440504030451	0.0062823509234954	9.99927401842251	5.28009180318941e-18	0	0	0	0.0290160141537857	0.00126149288680979	0	0	0.00215027796728837	0	0.000686469508853937	0.000782882474704851	9.99927401842251	0	0	0.00366413896346225	0.00335797641796304	0.0187238883319551	2.98849017747146e-05	0.000471430669341202	0.0163647901464777	0.0302553370524457	0.000163302770826598	0.00207211420926272	0	0.000485354781528579	0	0.00640307690334054	0	1.36314979720701e-16	0	0.0032328742341274	0.0194527462520172	0	0	0.0025075844384159	0.000719217576068077	0.00387678144320892	0.0207579320257582	0.00496802255505368	2.99992510508705e-14	0	2.83392708893716e-21	0	0	0.00561297395327122	0.0050610105715043	2.82064365775875e-16	0	1.20173516189265e-19	0	0	7.55091529078955e-16	3.94993213100296e-19	0	0	0.00720423172065296	0.000994920720170421	0	0	0	0	0	0.151168154986009	0.0588471929927255	0	0	0.00180807601162274	6.90338179527957e-18	0	0	0	9.99790871563811	9.99918735805188	0	0	0	2.22609098207556e-18	5.48107437605408e-18	0.000125176665367215	0	0	4.7262107603449e-18	0	0	6.38768258528522e-19	0	0	0	0	0	0	0	0	0	0.0168994276092568	3.11846572795682e-18	1.82617874137133e-17	2.95459182778169e-17	6.03140023549527e-19	H. stevensii	0.999809999999977	atr2_10	atr2_10_00002
atr2_10_00003	0.0600993235739767	0.0258555845105214	0.075732014110882	0.0749686709332291	0.0252755168025403	0.0135634304552741	15.5585649591066	0.000414338351818584	0.00581231941789331	0.0344519120816915	0.00767269042246034	0	0.00809079385069394	8.60902347110806e-17	9.99901871093136	0.03818075963467	9.99901871093136	0.0470552278364624	0.0560436496343774	0	9.93621813371182	0.00128757064101386	9.05804422166532e-21	9.02281557317193e-06	9.99901871093145	0	9.99901871093136	0.000155034414480603	0.146164704340708	0.0559203153358186	83.4594447872777	0.00197246559587113	0.00550962851454399	5.29808401052496e-18	0.0732410768224358	0.0135287062453764	0.0118194123234626	0.00113420877957897	0	10.2134703110353	0.00177017738635723	1.76006046862499e-19	0.00266695402503119	0.0777993112294823	0.0273819811025995	6.78343746431136e-05	0	0	0.000274901090786388	4.23461808343439e-05	0.024090460696895	0.0756151275531472	0.0014044783814712	0.00181468848642056	0.00692447344321742	9.99901871093136	0.0443415527533482	0.497722924623501	0.00230854597672146	0.00085573058160528	0	0.00147678753911801	0.00234238626375905	0.00127724954698749	0.0158602681786553	9.99901871093136	0	0	0	0	0.0444021330864458	0.0012909911585572	0	0	0.00848483629619756	0	0.00243847320452842	0.000859852353810774	9.99901871093136	0	0	0.00448862760565231	0.00339069941494275	0.0290386094413122	1.47867179813585e-05	0.000411105857521276	0.0119333613597977	0.0123225939268818	0.000391268588332124	0.00817801956122169	5.95154496409941e-17	0.000239561807365493	0	0.00608985699897923	0	1.37644352765504e-16	0	0.00521570599779248	0.0427340822691219	0	0	0.00390423234922625	0.000462553495658698	0.00392882620219953	0.0131687770485613	0.00551603666504792	6.0872062066534e-14	0	0	0	0	0.0117606561174656	0.00683614961444475	1.78252949893062e-16	0	4.49703761284498e-20	0	0	2.06083069372683e-16	1.69703201417467e-18	9.52986298019605e-40	0	0.0170651346185842	0.00274635319709455	0	0	0	0	0	0.122012998204176	0.0855483998960895	0	0	0.00224416698362307	0	0	0	0	9.9972285623025	9.99884628142284	0	0	0	8.56062642584362e-19	0	0.00259653855793347	3.06455706026949e-18	0	4.31805286967859e-17	0	0	9.77645160575955e-16	0	0	5.25502902818637e-17	3.42221119023992e-16	1.53161307105985e-24	0	0	0	1.35568003439441e-15	0.0245882189808053	0	5.37448071035583e-17	3.02359888109338e-17	0	PHOSPHATE	1.99988999999995	atr2_10	atr2_10_00003
atr2_10_00004	0.0783173665741216	0.0427913977068177	0.147419265069454	0.27655308694831	0.329525540789978	0.372788977050662	15.8290535656898	0.262639802459488	0.0138486928369991	0.0126724134794378	0.00535911247919405	0	0.00515292894866902	0	9.99825866249211	0.0140550706940054	9.99825866249211	0.0194738712513356	0.0532711243350466	0	9.90622833820287	0.0013354597705722	3.39237625041906e-21	3.31949092231163e-06	9.99825866249219	1.83417581146036e-17	9.99825866249211	6.83822375846374e-05	0.142622985745021	0.0208115923387204	153.654010053279	0.000938603117620792	0.00335036656644743	3.22841593463396e-18	0.0353964496930493	0.00497621241923628	0.00712154012939659	0.000450782883678655	0	10.3612271492373	0.00489920477133618	5.07658104819073e-19	0.00155104826266369	0.0439976126142241	0.0114548569285783	2.77428558261699e-05	0	0	0.000113033401182264	2.37225324831837e-05	0.00888252217024954	0.0351058290474048	0.000871352368261467	0.00104229720669729	0.00341562047821715	9.99825866249211	0.0163124085439041	0.183548553836348	0.000857447174633438	0.00134905898618714	0	0.000732399082496903	0.00104207828731158	0.00119391807754	0.027109095280105	9.99825866249211	0	4.49426545231549e-17	3.81594791997706e-19	0	0.0492369449270309	0.00133908356379899	0	0	0.00353147366095586	0	0.00103319532376542	0.000372667282117286	9.99825866249211	0	2.58919419983176e-17	0.0020117767809533	0.00138883609859138	0.035646579651559	5.53769673842416e-06	0.000196028249974846	0.0247419427185674	0.00524631091894323	0.000181285710681156	0.0162004587611302	2.19078523507103e-17	0.000112114954568861	0	0.00235694050784112	0	1.651600929397e-16	0	0.00787408944107491	0.0542029176711304	0	0	0.00427684137682294	0.000261222560088077	0.0027020008363374	0.00781486135345903	0.013263333506124	9.61416697171983e-14	0	0	0	0	0.00657965364864418	0.0074998043207984	0	0	1.68375470444346e-20	0	0	8.9095758754008e-17	5.80432368664052e-18	8.89616309927057e-17	3.68389757067405e-16	0.0294523063164366	0.00111079710098635	0	0	1.04010295798762e-16	0	0	0.0714183359323992	0.0870315132547941	0	0	0.00174228277112262	3.70671356494027e-18	0	0	2.04590131226568e-17	9.99480842437667	9.99822622559165	0	0	0	3.16565207771584e-19	0	0.00133813547111897	4.77273776195305e-18	4.08830563725582e-21	0	1.05833408895141e-17	0	3.45039050562229e-16	0	0	0	2.45044348036001e-16	5.63327812390936e-25	0	0	0	1.77396247734215e-17	0.0306066013221612	0	1.97673584700278e-17	0	1.14865445402514e-15	H. stevensii	2.99996999999992	atr2_10	atr2_10_00004
